"","campaign_name","ad_name","image_video_and_slideshow","ad_set_name","reach","impressions","result_type","results","amount_spent_usd","starts","ends","link_clicks","cost_per_result","audience","restriction18_39","campaign_theme","version","video_theme"
"171","Giving Guide 2021 – Cause-led V3","Philanthropy (Cause-led V3)","cropped_4X5_(x, y)_(0, 158)_width_720px_height_899px_New Giving Guide Video Ad Filmed Emotional - Global Poverty.m4v (265751598880484)","Philanthropy (Cause-led V3)",128,142,NA,NA,1.2409353622057,2021-12-23,2022-01-04,NA,NA,"Philanthropy",1,"Cause-led","V3 - sometimes Luke","Poverty"
"172","Giving Guide 2021 – Factual V3","Philanthropy (Factual V3)","cropped_4X5_(x, y)_(0, 394)_width_1080px_height_1354px_New Giving Guide Video Ad Filmed Factual Short.m4v (487059362838361)","Philanthropy (Factual V3)",112,116,"Meta Leads",1,1.24,2021-12-23,2022-01-04,2,1.24,"Philanthropy",1,"Factual","V3 - sometimes Luke","Factual short"
"173","Giving Guide 2021 – Cause-led V3","Climate Change (Cause-led V3)","New Giving Guide Video Ad Filmed Emotional - Climate Change.m4v (279496877544018)","Climate Change (Cause-led V3)",86,87,NA,NA,1.12,2021-12-23,2022-01-04,NA,NA,"Climate",1,"Cause-led","V3 - sometimes Luke","Climate"
"174","Giving Guide 2021 – Factual","Retargeting (Factual)","ggwc_factual_final1 (1).mp4 (886232108921551)","Retargeting (Factual)",6,11,"Meta Leads",1,1.12,2021-12-03,2021-12-08,2,1.12,"Retargeting",0,"Factual","V1","Factual long"
"175","Giving Guide 2021 – Hypercube Brand Video","Hypercube Brand Video (Animated)","[Version 02] Giving What We Can Promo Video Final - CTA Visit GWWC.org [2021-29-11]_compressed.m4v (866994837312979)","Retargeting (18-39)",49,82,NA,NA,1.08,2022-01-07,2022-01-17,NA,NA,"Retargeting",1,"Hypercube","Video/creatives","Hypercube (factual)"
"176","Giving Guide 2021 – PPCo Creatives","Cause-led + Factual (Animated)","ggwc_emotional_set_3 (1).mp4 (287217033315901)","Philanthropy + Lookalikes (18-39)",47,50,NA,NA,1.06,2022-01-07,2022-01-17,NA,NA,"Philanthropy",1,"'Optimized' PPCo","Video/creatives","Poverty"
"177","Giving Guide 2021 – PPCo Creatives","Cause-led + Factual (Animated)","ggwc_emotional_set_2 (1).mp4 (717231612998210)","Climate Change (18-39)",42,51,NA,NA,1.02,2022-01-07,2022-01-17,2,NA,"Climate",1,"'Optimized' PPCo","Video/creatives","Climate"
"178","Giving Guide 2021 – Factual V3","Lookalikes (Factual V3)","New Giving Guide Video Ad Filmed Factual Short.m4v (235565945256052)","Lookalikes (Factual V3)",58,62,"Meta Leads",1,0.98,2021-12-23,2022-01-04,1,0.98,"Lookalikes",1,"Factual","V3 - sometimes Luke","Factual short"
"179","Giving Guide 2021 – Factual V3","Climate Change (Factual V3)","cropped_4X5_(x, y)_(0, 394)_width_1080px_height_1354px_New Giving Guide Video Ad Filmed Factual Short.m4v (487059362838361)","Climate Change (Factual V3)",94,94,NA,NA,0.93,2021-12-23,2022-01-04,NA,NA,"Climate",1,"Factual","V3 - sometimes Luke","Factual short"
"180","Giving Guide 2021 - Cause-led","Philanthropy (Cause-led)","ggwc_emotional_set_1 (1).mp4 (869866030367680)","Retargeting (Cause-led)",16,30,NA,NA,0.9023613963039,2021-12-03,2021-12-20,NA,NA,"Retargeting",0,"Cause-led","V1","Animal"
"181","Giving Guide 2021 – PPCo Creatives","Cause-led + Factual (Animated)","Auto_Cropped_AR_4_X_5_DCO_V4_gg_factual_short.mp4 (2892971737592047)","Philanthropy + Lookalikes (18-39)",11,15,NA,NA,0.88,2022-01-07,2022-01-17,NA,NA,"Philanthropy",1,"'Optimized' PPCo","Video/creatives","Factual short"
"182","Giving Guide 2021 – Factual V3","Climate Change (Factual V3)","Auto_Cropped_AR_4_X_5_DCO_V4_gg_factual_short.mp4 (2882597611962793)","Climate Change (Factual V3)",47,49,NA,NA,0.86,2021-12-23,2022-01-04,1,NA,"Climate",1,"Factual","V3 - sometimes Luke","Factual short"
"183","Giving Guide 2021 – PPCo Creatives","Cause-led + Factual (Animated)","Auto_Cropped_AR_4_X_5_DCO_V4_gg_factual_short.mp4 (2892970624258825)","Global Poverty + Lookalikes (18-39)",17,22,NA,NA,0.83,2022-01-07,2022-01-17,NA,NA,"Global Poverty",1,"'Optimized' PPCo","Video/creatives","Factual short"
"184","Giving Guide 2021 – PPCo Creatives","Cause-led + Factual (Animated)","gg_factual_short.mp4 (1298714567312091)","Animal Welfare (18-39)",40,52,NA,NA,0.81986948217317,2022-01-07,2022-01-17,NA,NA,"Animal",1,"'Optimized' PPCo","Video/creatives","Factual short"
"185","Giving Guide 2021 – Hypercube Brand Video","Hypercube Brand Video (Animated)","Free Effective Giving Guide 2021 (866994837312979)","Lookalikes (18-39)",39,50,NA,NA,0.81,2022-01-07,2022-01-17,NA,NA,"Lookalikes",1,"Hypercube","Video/creatives","Hypercube (factual)"
"186","Giving Guide 2021 – Cause-led V3","Lookalikes (Cause-led V3)","cropped_4X5_(x, y)_(0, 158)_width_720px_height_899px_New Giving Guide Video Ad Filmed Emotional - Global Poverty.m4v (265751598880484)","Lookalikes (Cause-led V3)",24,27,NA,NA,0.71,2021-12-23,2022-01-04,NA,NA,"Lookalikes",1,"Cause-led","V3 - sometimes Luke","Poverty"
