Campaign name,Ad Set Name,Age,Gender,Video,Reach,Impressions,Frequency,Result type,Results,Cost per result,Amount spent (USD),"CPM (cost per 1,000 impressions)",Link clicks,CPC (cost per link click),CTR (link click-through rate),Clicks (all),CTR (all),"Cost per 1,000 people reached",3-second video plays,ThruPlays,Unique link clicks,Included custom audiences,Reporting starts,Reporting ends
Giving Guide 2021 – Emotional V3,Philanthropy (Emotional V3),18-24,unknown,New Giving Guide Video Ad Filmed Emotional - Global Poverty.m4v,1,1,1,,,,0.14,140.1056054,,,,0,0,140.1056054,,,,,2021-11-01,2022-01-20
Giving Guide 2021 - Emotional,Retargeting (Emotional),18-24,male,ggwc_emotional_set_1 (1).mp4,2,3,1.5,,,,0.03,10.61601643,1,0.03184805,33.33333333,1,33.33333333,15.92402464,,,,"23845437620760764:GWWC All Website Visitors (90 Days),23845437623800764:GWWC www. Website Visitors (90 Days),23845437820710764:GWWC Facebook Page (engaged within 365 days)",2021-11-01,2022-01-20
Giving Guide 2021 – Emotional V3,Philanthropy (Emotional V3),18-24,male,"cropped_4X5_(x, y)_(0, 155)_width_720px_height_899px_New Giving Guide Video Ad Filmed Emotional - Climate Change.m4v",1,1,1,,,,0.00,0,,,,0,0,0,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Factual V3,Global Poverty (Factual V3),18-24,male,New Giving Guide Video Ad Filmed Factual Short.m4v,11,13,1.181818182,,,,0.37,28.46153846,,,,0,0,33.63636364,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Climate Change + Lookalikes (18-39),18-24,female,gg_factual_short.mp4,1,1,1,,,,0.01,9.99765671,,,,0,0,9.99765671,,,,"23847141732800764:Lookalike (AU, CA and 3 others, 1%) - GWWC Members & Try Givers,23847141732860764:Lookalike (AU, CA and 3 others, 2% to 3%) - GWWC Members & Try Givers,23847141732870764:Lookalike (AU, CA and 3 others, 1% to 2%) - GWWC Members & Try Givers,23847141734740764:Lookalike (AU, CA and 3 others, 1%) - GWWC Facebook Page (engaged within 365 days),23847141734790764:Lookalike (AU, CA and 3 others, 1% to 3%) - GWWC Facebook Page (engaged within 365 days)",2021-11-01,2022-01-20
Giving Guide 2021 – Factual V3,Lookalikes (Factual V3),18-24,male,gg_factual_short.mp4,23,28,1.217391304,,,,0.36,12.85714286,,,,1,3.57142857,15.65217391,5,,,"23847141732800764:Lookalike (AU, CA and 3 others, 1%) - GWWC Members & Try Givers,23847141732860764:Lookalike (AU, CA and 3 others, 2% to 3%) - GWWC Members & Try Givers,23847141732870764:Lookalike (AU, CA and 3 others, 1% to 2%) - GWWC Members & Try Givers,23847141734740764:Lookalike (AU, CA and 3 others, 1%) - GWWC Facebook Page (engaged within 365 days),23847141734790764:Lookalike (AU, CA and 3 others, 1% to 3%) - GWWC Facebook Page (engaged within 365 days)",2021-11-01,2022-01-20
Giving Guide 2021 – Factual V3,Lookalikes (Factual V3),18-24,female,gg_factual_short.mp4,35,53,1.514285714,,,,1.69,31.88679245,,,,0,0,48.28571429,10,,,"23847141732800764:Lookalike (AU, CA and 3 others, 1%) - GWWC Members & Try Givers,23847141732860764:Lookalike (AU, CA and 3 others, 2% to 3%) - GWWC Members & Try Givers,23847141732870764:Lookalike (AU, CA and 3 others, 1% to 2%) - GWWC Members & Try Givers,23847141734740764:Lookalike (AU, CA and 3 others, 1%) - GWWC Facebook Page (engaged within 365 days),23847141734790764:Lookalike (AU, CA and 3 others, 1% to 3%) - GWWC Facebook Page (engaged within 365 days)",2021-11-01,2022-01-20
Giving Guide 2021 – Factual V3,Lookalikes (Factual V3),18-24,unknown,gg_factual_short.mp4,64,81,1.265625,,,,0.79,9.75308642,,,,0,0,12.34375,14,,,"23847141732800764:Lookalike (AU, CA and 3 others, 1%) - GWWC Members & Try Givers,23847141732860764:Lookalike (AU, CA and 3 others, 2% to 3%) - GWWC Members & Try Givers,23847141732870764:Lookalike (AU, CA and 3 others, 1% to 2%) - GWWC Members & Try Givers,23847141734740764:Lookalike (AU, CA and 3 others, 1%) - GWWC Facebook Page (engaged within 365 days),23847141734790764:Lookalike (AU, CA and 3 others, 1% to 3%) - GWWC Facebook Page (engaged within 365 days)",2021-11-01,2022-01-20
Giving Guide 2021 – Factual V3,Lookalikes (Factual V3),18-24,male,gg_factual_short.mp4,752,841,1.118351064,On-Facebook Leads,2,5.09,10.17,12.09274673,3,3.39,0.356718193,9,1.07015458,13.52393617,154,,,"23847141732800764:Lookalike (AU, CA and 3 others, 1%) - GWWC Members & Try Givers,23847141732860764:Lookalike (AU, CA and 3 others, 2% to 3%) - GWWC Members & Try Givers,23847141732870764:Lookalike (AU, CA and 3 others, 1% to 2%) - GWWC Members & Try Givers,23847141734740764:Lookalike (AU, CA and 3 others, 1%) - GWWC Facebook Page (engaged within 365 days),23847141734790764:Lookalike (AU, CA and 3 others, 1% to 3%) - GWWC Facebook Page (engaged within 365 days)",2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Retargeting (18-39),18-24,male,ggwc_emotional_set_2 (1).mp4,4,4,1,,,,0.05,12.5,,,,0,0,12.5,1,,,"23845437620760764:GWWC All Website Visitors (90 Days),23845437623800764:GWWC www. Website Visitors (90 Days),23845437820710764:GWWC Facebook Page (engaged within 365 days)",2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Climate Change + Lookalikes (18-39),18-24,unknown,gg_factual_short.mp4,1,1,1,,,,0.09,89.97891037,,,,0,0,89.97891037,1,,,"23847141732800764:Lookalike (AU, CA and 3 others, 1%) - GWWC Members & Try Givers,23847141732860764:Lookalike (AU, CA and 3 others, 2% to 3%) - GWWC Members & Try Givers,23847141732870764:Lookalike (AU, CA and 3 others, 1% to 2%) - GWWC Members & Try Givers,23847141734740764:Lookalike (AU, CA and 3 others, 1%) - GWWC Facebook Page (engaged within 365 days),23847141734790764:Lookalike (AU, CA and 3 others, 1% to 3%) - GWWC Facebook Page (engaged within 365 days)",2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Climate Change + Lookalikes (18-39),18-24,female,ggwc_emotional_set_2 (1).mp4,1,1,1,,,,0.02,19.99531342,,,,0,0,19.99531342,1,,,"23847141732800764:Lookalike (AU, CA and 3 others, 1%) - GWWC Members & Try Givers,23847141732860764:Lookalike (AU, CA and 3 others, 2% to 3%) - GWWC Members & Try Givers,23847141732870764:Lookalike (AU, CA and 3 others, 1% to 2%) - GWWC Members & Try Givers,23847141734740764:Lookalike (AU, CA and 3 others, 1%) - GWWC Facebook Page (engaged within 365 days),23847141734790764:Lookalike (AU, CA and 3 others, 1% to 3%) - GWWC Facebook Page (engaged within 365 days)",2021-11-01,2022-01-20
Giving Guide 2021 – Factual V2,Lookalikes (Factual V2),18-24,female,gg_factual_short.mp4,337,356,1.056379822,On-Facebook Leads,1,9.25,9.25,25.97118783,3,3.08191429,0.842696629,7,1.96629213,27.43543877,88,,,"23847141732800764:Lookalike (AU, CA and 3 others, 1%) - GWWC Members & Try Givers,23847141732860764:Lookalike (AU, CA and 3 others, 2% to 3%) - GWWC Members & Try Givers,23847141732870764:Lookalike (AU, CA and 3 others, 1% to 2%) - GWWC Members & Try Givers,23847141734740764:Lookalike (AU, CA and 3 others, 1%) - GWWC Facebook Page (engaged within 365 days),23847141734790764:Lookalike (AU, CA and 3 others, 1% to 3%) - GWWC Facebook Page (engaged within 365 days)",2021-11-01,2022-01-20
Giving Guide 2021 – Emotional V3,Philanthropy (Emotional V3),18-24,male,ggwc_emotional_set_3 (1).mp4,1,1,1,,,,0.00,0,,,,0,0,0,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Factual V3,Global Poverty (Factual V3),18-24,female,gg_factual_short.mp4,1802,2007,1.113762486,On-Facebook Leads,1,13.52,13.52,6.73642252,3,4.50666667,0.149476831,10,0.4982561,7.50277469,309,,,,2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Retargeting (18-39),18-24,male,gg_factual_short.mp4,2,3,1.5,,,,0.01,3.33333333,,,,0,0,5,,,,"23845437620760764:GWWC All Website Visitors (90 Days),23845437623800764:GWWC www. Website Visitors (90 Days),23845437820710764:GWWC Facebook Page (engaged within 365 days)",2021-11-01,2022-01-20
Giving Guide 2021 – Factual V3,Lookalikes (Factual V3),18-24,female,gg_factual_short.mp4,1236,1517,1.227346278,,,,22.36,14.73961767,3,7.45333333,0.197758734,7,0.46143705,18.09061489,281,,,"23847141732800764:Lookalike (AU, CA and 3 others, 1%) - GWWC Members & Try Givers,23847141732860764:Lookalike (AU, CA and 3 others, 2% to 3%) - GWWC Members & Try Givers,23847141732870764:Lookalike (AU, CA and 3 others, 1% to 2%) - GWWC Members & Try Givers,23847141734740764:Lookalike (AU, CA and 3 others, 1%) - GWWC Facebook Page (engaged within 365 days),23847141734790764:Lookalike (AU, CA and 3 others, 1% to 3%) - GWWC Facebook Page (engaged within 365 days)",2021-11-01,2022-01-20
Giving Guide 2021 – Factual V2,Lookalikes (Factual V2),18-24,male,gg_factual_short.mp4,103,103,1,,,,2.01,19.54784752,2,1.00671415,1.941747573,2,1.94174757,19.54784752,19,,,"23847141732800764:Lookalike (AU, CA and 3 others, 1%) - GWWC Members & Try Givers,23847141732860764:Lookalike (AU, CA and 3 others, 2% to 3%) - GWWC Members & Try Givers,23847141732870764:Lookalike (AU, CA and 3 others, 1% to 2%) - GWWC Members & Try Givers,23847141734740764:Lookalike (AU, CA and 3 others, 1%) - GWWC Facebook Page (engaged within 365 days),23847141734790764:Lookalike (AU, CA and 3 others, 1% to 3%) - GWWC Facebook Page (engaged within 365 days)",2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Climate Change + Lookalikes (18-39),18-24,male,Auto_Cropped_AR_4_X_5_DCO_V4_gg_factual_short.mp4,3,3,1,,,,0.04,13.33020894,,,,0,0,13.33020894,,,,"23847141732800764:Lookalike (AU, CA and 3 others, 1%) - GWWC Members & Try Givers,23847141732860764:Lookalike (AU, CA and 3 others, 2% to 3%) - GWWC Members & Try Givers,23847141732870764:Lookalike (AU, CA and 3 others, 1% to 2%) - GWWC Members & Try Givers,23847141734740764:Lookalike (AU, CA and 3 others, 1%) - GWWC Facebook Page (engaged within 365 days),23847141734790764:Lookalike (AU, CA and 3 others, 1% to 3%) - GWWC Facebook Page (engaged within 365 days)",2021-11-01,2022-01-20
Giving Guide 2021 – Emotional V3,Philanthropy (Emotional V3),18-24,male,Auto_Cropped_AR_4_X_5_DCO_ggwc_emotional_set_1 (1).mp4,1,1,1,,,,0.00,0,,,,0,0,0,1,,,,2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Climate Change + Lookalikes (18-39),18-24,male,gg_factual_short.mp4,4,4,1,,,,0.05,12.49707088,,,,0,0,12.49707088,1,,,"23847141732800764:Lookalike (AU, CA and 3 others, 1%) - GWWC Members & Try Givers,23847141732860764:Lookalike (AU, CA and 3 others, 2% to 3%) - GWWC Members & Try Givers,23847141732870764:Lookalike (AU, CA and 3 others, 1% to 2%) - GWWC Members & Try Givers,23847141734740764:Lookalike (AU, CA and 3 others, 1%) - GWWC Facebook Page (engaged within 365 days),23847141734790764:Lookalike (AU, CA and 3 others, 1% to 3%) - GWWC Facebook Page (engaged within 365 days)",2021-11-01,2022-01-20
Giving Guide 2021 – Emotional V3,Philanthropy (Emotional V3),18-24,male,ggwc_emotional_set_1 (1).mp4,1,1,1,,,,0.01,10.00754324,,,,0,0,10.00754324,,,,,2021-11-01,2022-01-20
Giving Guide 2021 - Emotional,Retargeting (Emotional),18-24,female,ggwc_emotional_set_1 (1).mp4,2,8,4,,,,0.03,3.98100616,,,,0,0,15.92402464,,,,"23845437620760764:GWWC All Website Visitors (90 Days),23845437623800764:GWWC www. Website Visitors (90 Days),23845437820710764:GWWC Facebook Page (engaged within 365 days)",2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Climate Change + Lookalikes (18-39),18-24,unknown,ggwc_emotional_set_2 (1).mp4,11,15,1.363636364,,,,0.25,16.66276118,1,0.24994142,6.666666667,1,6.66666667,22.72194706,2,,,"23847141732800764:Lookalike (AU, CA and 3 others, 1%) - GWWC Members & Try Givers,23847141732860764:Lookalike (AU, CA and 3 others, 2% to 3%) - GWWC Members & Try Givers,23847141732870764:Lookalike (AU, CA and 3 others, 1% to 2%) - GWWC Members & Try Givers,23847141734740764:Lookalike (AU, CA and 3 others, 1%) - GWWC Facebook Page (engaged within 365 days),23847141734790764:Lookalike (AU, CA and 3 others, 1% to 3%) - GWWC Facebook Page (engaged within 365 days)",2021-11-01,2022-01-20
Giving Guide 2021 – Factual V2,Retargeting (Factual V2),18-24,female,gg_factual_short.mp4,1,2,2,,,,0.02,10,,,,0,0,20,1,,,"23845437620760764:GWWC All Website Visitors (90 Days),23845437623800764:GWWC www. Website Visitors (90 Days),23845437820710764:GWWC Facebook Page (engaged within 365 days)",2021-11-01,2022-01-20
Giving Guide 2021 – Factual,Global Poverty (Factual),18-24,male,ggwc_factual_final1 (1).mp4,281,299,1.06405694,,,,3.60,12.04013378,,,,4,1.33779264,12.8113879,30,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Factual V2,Lookalikes (Factual V2),18-24,female,Auto_Cropped_AR_4_X_5_DCO_gg_factual_short.mp4,1,1,1,,,,0.01,10.01705619,,,,0,0,10.01705619,,,,"23847141732800764:Lookalike (AU, CA and 3 others, 1%) - GWWC Members & Try Givers,23847141732860764:Lookalike (AU, CA and 3 others, 2% to 3%) - GWWC Members & Try Givers,23847141732870764:Lookalike (AU, CA and 3 others, 1% to 2%) - GWWC Members & Try Givers,23847141734740764:Lookalike (AU, CA and 3 others, 1%) - GWWC Facebook Page (engaged within 365 days),23847141734790764:Lookalike (AU, CA and 3 others, 1% to 3%) - GWWC Facebook Page (engaged within 365 days)",2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Global Poverty (18-39),18-24,female,ggwc_emotional_set_3 (1).mp4,62,67,1.080645161,,,,0.68,10.14925373,,,,0,0,10.96774194,5,,,,2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Global Poverty (18-39),18-24,male,ggwc_emotional_set_3 (1).mp4,26,29,1.115384615,,,,0.14,4.82758621,,,,0,0,5.38461538,1,,,,2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Global Poverty (18-39),18-24,unknown,gg_factual_short.mp4,13,13,1,,,,0.29,22.30769231,1,0.29,7.692307692,2,15.38461538,22.30769231,3,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Factual,Global Poverty (Factual),18-24,female,gg_factual_short.mp4,32,33,1.03125,,,,0.44,13.33333333,,,,0,0,13.75,2,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Factual V2,Philanthropy (Factual V2),18-24,female,gg_factual_short.mp4,749,901,1.20293725,On-Facebook Leads,2,7.06,14.11,15.66470649,5,2.82278011,0.554938957,12,1.3318535,18.84365895,188,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Factual V3,Global Poverty (Factual V3),18-24,male,"cropped_4X5_(x, y)_(0, 394)_width_1080px_height_1354px_New Giving Guide Video Ad Filmed Factual Short.m4v",4,4,1,,,,0.20,50,,,,0,0,50,1,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Factual,Global Poverty (Factual),18-24,female,ggwc_factual_final1 (1).mp4,358,377,1.053072626,,,,5.08,13.47480106,,,,1,0.26525199,14.18994413,40,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Factual,Global Poverty (Factual),18-24,male,gg_factual_short.mp4,11,11,1,,,,0.14,12.72727273,,,,0,0,12.72727273,2,,,,2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Global Poverty + Lookalikes (18-39),18-24,female,Auto_Cropped_AR_4_X_5_DCO_V4_gg_factual_short.mp4,3,4,1.333333333,,,,0.55,137.5,,,,2,50,183.3333333,3,,,"23847141732800764:Lookalike (AU, CA and 3 others, 1%) - GWWC Members & Try Givers,23847141732860764:Lookalike (AU, CA and 3 others, 2% to 3%) - GWWC Members & Try Givers,23847141732870764:Lookalike (AU, CA and 3 others, 1% to 2%) - GWWC Members & Try Givers,23847141734740764:Lookalike (AU, CA and 3 others, 1%) - GWWC Facebook Page (engaged within 365 days),23847141734790764:Lookalike (AU, CA and 3 others, 1% to 3%) - GWWC Facebook Page (engaged within 365 days)",2021-11-01,2022-01-20
Giving Guide 2021 – Factual V2,Philanthropy (Factual V2),18-24,male,gg_factual_short.mp4,238,274,1.151260504,On-Facebook Leads,1,4.58,4.58,16.71705892,1,4.58047414,0.364963504,5,1.82481752,19.24568968,59,,,,2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Global Poverty (18-39),18-24,female,Auto_Cropped_AR_4_X_5_DCO_V4_gg_factual_short.mp4,2,4,2,,,,0.03,7.5,,,,0,0,15,1,,,,2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Global Poverty (18-39),18-24,unknown,ggwc_emotional_set_3 (1).mp4,3,3,1,,,,0.01,3.33333333,,,,0,0,3.33333333,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Global Poverty + Lookalikes (18-39),18-24,unknown,gg_factual_short.mp4,5,5,1,,,,0.01,2,,,,0,0,2,,,,"23847141732800764:Lookalike (AU, CA and 3 others, 1%) - GWWC Members & Try Givers,23847141732860764:Lookalike (AU, CA and 3 others, 2% to 3%) - GWWC Members & Try Givers,23847141732870764:Lookalike (AU, CA and 3 others, 1% to 2%) - GWWC Members & Try Givers,23847141734740764:Lookalike (AU, CA and 3 others, 1%) - GWWC Facebook Page (engaged within 365 days),23847141734790764:Lookalike (AU, CA and 3 others, 1% to 3%) - GWWC Facebook Page (engaged within 365 days)",2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Global Poverty + Lookalikes (18-39),18-24,female,ggwc_emotional_set_3 (1).mp4,5,5,1,,,,0.17,34,,,,0,0,34,,,,"23847141732800764:Lookalike (AU, CA and 3 others, 1%) - GWWC Members & Try Givers,23847141732860764:Lookalike (AU, CA and 3 others, 2% to 3%) - GWWC Members & Try Givers,23847141732870764:Lookalike (AU, CA and 3 others, 1% to 2%) - GWWC Members & Try Givers,23847141734740764:Lookalike (AU, CA and 3 others, 1%) - GWWC Facebook Page (engaged within 365 days),23847141734790764:Lookalike (AU, CA and 3 others, 1% to 3%) - GWWC Facebook Page (engaged within 365 days)",2021-11-01,2022-01-20
Giving Guide 2021 – Factual V3,Global Poverty (Factual V3),18-24,male,"cropped_4X5_(x, y)_(0, 394)_width_1080px_height_1354px_New Giving Guide Video Ad Filmed Factual Short.m4v",2,2,1,,,,0.01,5,,,,0,0,5,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Factual V3,Global Poverty (Factual V3),18-24,unknown,gg_factual_short.mp4,1,1,1,,,,0.25,250,,,,0,0,250,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Factual,Global Poverty (Factual),18-24,unknown,ggwc_factual_final1 (1).mp4,11,12,1.090909091,,,,0.17,14.16666667,,,,0,0,15.45454545,1,,,,2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Global Poverty (18-39),18-24,male,gg_factual_short.mp4,246,267,1.085365854,,,,2.09,7.82771536,,,,1,0.37453184,8.49593496,46,,,,2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Retargeting (18-39),18-24,male,ggwc_emotional_set_3 (1).mp4,1,1,1,,,,0.00,0,,,,0,0,0,,,,"23845437620760764:GWWC All Website Visitors (90 Days),23845437623800764:GWWC www. Website Visitors (90 Days),23845437820710764:GWWC Facebook Page (engaged within 365 days)",2021-11-01,2022-01-20
Giving Guide 2021 – Factual V3,Global Poverty (Factual V3),18-24,female,"cropped_4X5_(x, y)_(0, 394)_width_1080px_height_1354px_New Giving Guide Video Ad Filmed Factual Short.m4v",9,9,1,,,,0.07,7.77777778,,,,0,0,7.77777778,2,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Factual V3,Global Poverty (Factual V3),18-24,female,New Giving Guide Video Ad Filmed Factual Short.m4v,13,13,1,,,,0.29,22.30769231,,,,0,0,22.30769231,1,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Emotional V3,Philanthropy (Emotional V3),18-24,unknown,"cropped_4X5_(x, y)_(0, 158)_width_720px_height_899px_New Giving Guide Video Ad Filmed Emotional - Global Poverty.m4v",1,1,1,,,,0.00,0,,,,0,0,0,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Factual V2,Philanthropy (Factual V2),18-24,female,gg_factual_short.mp4,12,14,1.166666667,,,,0.20,14.38139449,,,,0,0,16.77829357,4,,,,2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Retargeting (18-39),18-24,female,gg_factual_short.mp4,1,1,1,,,,0.01,10,,,,0,0,10,,,,"23845437620760764:GWWC All Website Visitors (90 Days),23845437623800764:GWWC www. Website Visitors (90 Days),23845437820710764:GWWC Facebook Page (engaged within 365 days)",2021-11-01,2022-01-20
Giving Guide 2021 – Factual,Global Poverty (Factual),18-24,male,ggwc_factual_final1 (1).mp4,1,1,1,,,,0.01,10,,,,0,0,10,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Factual V3,Global Poverty (Factual V3),18-24,female,gg_factual_short.mp4,10,12,1.2,,,,0.07,5.83333333,,,,0,0,7,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Factual V3,Global Poverty (Factual V3),18-24,male,gg_factual_short.mp4,9,10,1.111111111,,,,0.07,7,,,,0,0,7.77777778,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Factual V2,Lookalikes (Factual V2),18-24,unknown,gg_factual_short.mp4,3,3,1,,,,0.05,16.69509366,,,,0,0,16.69509366,1,,,"23847141732800764:Lookalike (AU, CA and 3 others, 1%) - GWWC Members & Try Givers,23847141732860764:Lookalike (AU, CA and 3 others, 2% to 3%) - GWWC Members & Try Givers,23847141732870764:Lookalike (AU, CA and 3 others, 1% to 2%) - GWWC Members & Try Givers,23847141734740764:Lookalike (AU, CA and 3 others, 1%) - GWWC Facebook Page (engaged within 365 days),23847141734790764:Lookalike (AU, CA and 3 others, 1% to 3%) - GWWC Facebook Page (engaged within 365 days)",2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Global Poverty (18-39),18-24,female,gg_factual_short.mp4,256,288,1.125,,,,2.33,8.09027778,,,,0,0,9.1015625,43,,,,2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Global Poverty + Lookalikes (18-39),18-24,female,gg_factual_short.mp4,79,88,1.113924051,,,,1.42,16.13636364,,,,0,0,17.97468354,14,,,"23847141732800764:Lookalike (AU, CA and 3 others, 1%) - GWWC Members & Try Givers,23847141732860764:Lookalike (AU, CA and 3 others, 2% to 3%) - GWWC Members & Try Givers,23847141732870764:Lookalike (AU, CA and 3 others, 1% to 2%) - GWWC Members & Try Givers,23847141734740764:Lookalike (AU, CA and 3 others, 1%) - GWWC Facebook Page (engaged within 365 days),23847141734790764:Lookalike (AU, CA and 3 others, 1% to 3%) - GWWC Facebook Page (engaged within 365 days)",2021-11-01,2022-01-20
Giving Guide 2021 – Factual,Global Poverty (Factual),18-24,female,ggwc_factual_final1 (1).mp4,4,5,1.25,,,,0.08,16,,,,0,0,20,2,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Factual V2,Lookalikes (Factual V2),18-24,female,Auto_Cropped_AR_4_X_5_DCO_V4_gg_factual_short.mp4,2,2,1,,,,0.05,25.04264048,,,,0,0,25.04264048,1,,,"23847141732800764:Lookalike (AU, CA and 3 others, 1%) - GWWC Members & Try Givers,23847141732860764:Lookalike (AU, CA and 3 others, 2% to 3%) - GWWC Members & Try Givers,23847141732870764:Lookalike (AU, CA and 3 others, 1% to 2%) - GWWC Members & Try Givers,23847141734740764:Lookalike (AU, CA and 3 others, 1%) - GWWC Facebook Page (engaged within 365 days),23847141734790764:Lookalike (AU, CA and 3 others, 1% to 3%) - GWWC Facebook Page (engaged within 365 days)",2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Global Poverty + Lookalikes (18-39),18-24,male,gg_factual_short.mp4,63,68,1.079365079,,,,0.56,8.23529412,,,,0,0,8.88888889,13,,,"23847141732800764:Lookalike (AU, CA and 3 others, 1%) - GWWC Members & Try Givers,23847141732860764:Lookalike (AU, CA and 3 others, 2% to 3%) - GWWC Members & Try Givers,23847141732870764:Lookalike (AU, CA and 3 others, 1% to 2%) - GWWC Members & Try Givers,23847141734740764:Lookalike (AU, CA and 3 others, 1%) - GWWC Facebook Page (engaged within 365 days),23847141734790764:Lookalike (AU, CA and 3 others, 1% to 3%) - GWWC Facebook Page (engaged within 365 days)",2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Climate Change + Lookalikes (18-39),18-24,male,ggwc_emotional_set_2 (1).mp4,111,128,1.153153153,,,,2.66,20.77638035,,,,0,0,23.95834851,10,,,"23847141732800764:Lookalike (AU, CA and 3 others, 1%) - GWWC Members & Try Givers,23847141732860764:Lookalike (AU, CA and 3 others, 2% to 3%) - GWWC Members & Try Givers,23847141732870764:Lookalike (AU, CA and 3 others, 1% to 2%) - GWWC Members & Try Givers,23847141734740764:Lookalike (AU, CA and 3 others, 1%) - GWWC Facebook Page (engaged within 365 days),23847141734790764:Lookalike (AU, CA and 3 others, 1% to 3%) - GWWC Facebook Page (engaged within 365 days)",2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Climate Change + Lookalikes (18-39),18-24,male,gg_factual_short.mp4,135,150,1.111111111,,,,2.05,13.66346417,1,2.04951963,0.666666667,1,0.66666667,15.18162685,33,,,"23847141732800764:Lookalike (AU, CA and 3 others, 1%) - GWWC Members & Try Givers,23847141732860764:Lookalike (AU, CA and 3 others, 2% to 3%) - GWWC Members & Try Givers,23847141732870764:Lookalike (AU, CA and 3 others, 1% to 2%) - GWWC Members & Try Givers,23847141734740764:Lookalike (AU, CA and 3 others, 1%) - GWWC Facebook Page (engaged within 365 days),23847141734790764:Lookalike (AU, CA and 3 others, 1% to 3%) - GWWC Facebook Page (engaged within 365 days)",2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Climate Change + Lookalikes (18-39),18-24,female,gg_factual_short.mp4,207,249,1.202898551,On-Facebook Leads,3,1.53,4.60,18.46956661,6,0.76648701,2.409638554,15,6.02409639,22.21701491,57,,,"23847141732800764:Lookalike (AU, CA and 3 others, 1%) - GWWC Members & Try Givers,23847141732860764:Lookalike (AU, CA and 3 others, 2% to 3%) - GWWC Members & Try Givers,23847141732870764:Lookalike (AU, CA and 3 others, 1% to 2%) - GWWC Members & Try Givers,23847141734740764:Lookalike (AU, CA and 3 others, 1%) - GWWC Facebook Page (engaged within 365 days),23847141734790764:Lookalike (AU, CA and 3 others, 1% to 3%) - GWWC Facebook Page (engaged within 365 days)",2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Climate Change + Lookalikes (18-39),18-24,female,ggwc_emotional_set_2 (1).mp4,224,257,1.147321429,,,,4.61,17.93353985,1,4.60891974,0.389105058,1,0.38910506,20.57553456,34,,,"23847141732800764:Lookalike (AU, CA and 3 others, 1%) - GWWC Members & Try Givers,23847141732860764:Lookalike (AU, CA and 3 others, 2% to 3%) - GWWC Members & Try Givers,23847141732870764:Lookalike (AU, CA and 3 others, 1% to 2%) - GWWC Members & Try Givers,23847141734740764:Lookalike (AU, CA and 3 others, 1%) - GWWC Facebook Page (engaged within 365 days),23847141734790764:Lookalike (AU, CA and 3 others, 1% to 3%) - GWWC Facebook Page (engaged within 365 days)",2021-11-01,2022-01-20
