"Campaign name",Text,"Ad name","Ad Set Name",Age,Gender,"Campaign name","Attribution setting","Result type",Results,Reach,Impressions,"Cost per result","Amount spent (USD)","Link clicks",Frequency,"Start Pledge (New)",Starts,Ends,"Reporting starts","Reporting ends"
"Giving Guide 2021 – Factual V3","Only 3% of donors give based on charity effectiveness yet the best charities can be 100x more impactful. That’s incredible!

Check out the Effective Giving Guide 2021. It'll help you find the most impactful charities across a range of causes.","Retargeting (Factual V3)","Retargeting (Factual V3)",25-34,unknown,"Giving Guide 2021 – Factual V3","7-day click or 1-day view",,,2,2,,0.02,,1,,2021-12-23,2022-01-04,2021-11-15,2022-01-31
"Giving Guide 2021 – Factual","Did you know that the best charities can have a 100x greater impact?
Download our free Effective Giving Guide for the best tips on doing the most good this holiday season.","Climate Change (Factual)","Climate Change (Factual)",25-34,unknown,"Giving Guide 2021 – Factual","7-day click or 1-day view",,,5,5,,0.28995978031732,,1,,2021-11-30,2021-12-08,2021-11-15,2022-01-31
"Giving Guide 2021 – Factual","Want to make a bigger difference next year? Start with our Effective Giving Guide and learn how to make a remarkable impact just by carefully choosing the charities you give to.","Climate Change (Factual)","Climate Change (Factual)",35-44,unknown,"Giving Guide 2021 – Factual","7-day click or 1-day view",,,8,10,,0.089987518029513,,1.25,,2021-11-30,2021-12-08,2021-11-15,2022-01-31
"Giving Guide 2021 – Factual","Giving What We Can has helped 6,000+ people make a bigger impact on the causes they care about most. Download our free guide and learn how you can do the same.","Climate Change (Factual)","Climate Change (Factual)",18-24,unknown,"Giving Guide 2021 – Factual","7-day click or 1-day view",,,5,5,,0.029995839343171,,1,,2021-11-30,2021-12-08,2021-11-15,2022-01-31
"Giving Guide 2021 – Emotional V3","It can be overwhelming with so many problems in the world. Fortunately, we can do *a lot* to help, if we give effectively.

Check out the Effective Giving Guide 2021. It'll help you find the most impactful charities across a range of causes.","Philanthropy (Emotional V3)","Philanthropy (Emotional V3)",13-17,unknown,"Giving Guide 2021 – Emotional V3","7-day click or 1-day view",,,0,5,,0.020015086487189,,0,,2021-12-23,2022-01-04,2021-11-15,2022-01-31
"Giving Guide 2021 – Emotional V3","Want to make a bigger difference next year? Start with our Effective Giving Guide and learn how to make a remarkable impact just by carefully choosing the charities you give to.","Philanthropy (Emotional V3)","Philanthropy (Emotional V3)",13-17,unknown,"Giving Guide 2021 – Emotional V3","7-day click or 1-day view",,,0,2,,0.010007543243595,,0,,2021-12-23,2022-01-04,2021-11-15,2022-01-31
"Giving Guide 2021 – Factual","Giving What We Can has helped 6,000+ people make a bigger impact on the causes they care about most. Download our free guide and learn how you can do the same.","Climate Change (Factual)","Climate Change (Factual)",65+,unknown,"Giving Guide 2021 – Factual","7-day click or 1-day view",,,5,5,,0.17997503605903,,1,,2021-11-30,2021-12-08,2021-11-15,2022-01-31
"Giving Guide 2021 – Factual","Giving What We Can has helped 6,000+ people make a bigger impact on the causes they care about most. Download our free guide and learn how you can do the same.","Climate Change (Factual)","Climate Change (Factual)",45-54,unknown,"Giving Guide 2021 – Factual","7-day click or 1-day view",,,4,6,,0.079988904915123,,1.5,,2021-11-30,2021-12-08,2021-11-15,2022-01-31
"Giving Guide 2021 – Factual","Giving What We Can has helped 6,000+ people make a bigger impact on the causes they care about most. Download our free guide and learn how you can do the same.","Climate Change (Factual)","Climate Change (Factual)",55-64,unknown,"Giving Guide 2021 – Factual","7-day click or 1-day view",,,2,2,,0.019997226228781,,1,,2021-11-30,2021-12-08,2021-11-15,2022-01-31
"Giving Guide 2021 – Factual","Giving What We Can has helped 6,000+ people make a bigger impact on the causes they care about most. Download our free guide and learn how you can do the same.","Climate Change (Factual)","Climate Change (Factual)",25-34,unknown,"Giving Guide 2021 – Factual","7-day click or 1-day view",,,7,9,,0.17997503605903,,1.2857142857143,,2021-11-30,2021-12-08,2021-11-15,2022-01-31
"Giving Guide 2021 – Factual","Giving What We Can has helped 6,000+ people make a bigger impact on the causes they care about most. Download our free guide and learn how you can do the same.","Climate Change (Factual)","Climate Change (Factual)",35-44,unknown,"Giving Guide 2021 – Factual","7-day click or 1-day view",,,1,1,,0.0099986131143903,,1,,2021-11-30,2021-12-08,2021-11-15,2022-01-31
"Giving Guide 2021 – Factual","Did you know that the best charities can have a 100x greater impact?
Download our free Effective Giving Guide for the best tips on doing the most good this holiday season.","Climate Change (Factual)","Climate Change (Factual)",65+,unknown,"Giving Guide 2021 – Factual","7-day click or 1-day view",,,2,2,,0.10998474425829,,1,,2021-11-30,2021-12-08,2021-11-15,2022-01-31
"Giving Guide 2021 – Emotional V3","It can be overwhelming with so many problems in the world. Fortunately, we can do *a lot* to help, if we give effectively.

Check out the Effective Giving Guide 2021. It'll help you find the most impactful charities across a range of causes.","Philanthropy (Emotional V3)","Philanthropy (Emotional V3)",65+,unknown,"Giving Guide 2021 – Emotional V3","7-day click or 1-day view",,,0,0,,0,,0,,2021-12-23,2022-01-04,2021-11-15,2022-01-31
"Giving Guide 2021 – Emotional V3","Giving What We Can has helped 6,000+ people make a bigger impact on the causes they care about most. Download our free guide and learn how you can do the same.","Philanthropy (Emotional V3)","Philanthropy (Emotional V3)",65+,unknown,"Giving Guide 2021 – Emotional V3","7-day click or 1-day view",,,0,0,,0,,0,,2021-12-23,2022-01-04,2021-11-15,2022-01-31
"Giving Guide 2021 – Emotional V3","Giving What We Can has helped 6,000+ people make a bigger impact on the causes they care about most. Download our free guide and learn how you can do the same.","Philanthropy (Emotional V3)","Philanthropy (Emotional V3)",Unknown,unknown,"Giving Guide 2021 – Emotional V3","7-day click or 1-day view",,,0,0,,0,,0,,2021-12-23,2022-01-04,2021-11-15,2022-01-31
"Giving Guide 2021 – Emotional V3","Use our free guide to learn how to make a bigger impact on the causes you care about most.","Philanthropy (Emotional V3)","Philanthropy (Emotional V3)",Unknown,unknown,"Giving Guide 2021 – Emotional V3","7-day click or 1-day view",,,0,0,,0,,0,,2021-12-23,2022-01-04,2021-11-15,2022-01-31
"Giving Guide 2021 – Emotional V3","Want to make a bigger difference next year? Start with our Effective Giving Guide and learn how to make a remarkable impact just by carefully choosing the charities you give to.","Philanthropy (Emotional V3)","Philanthropy (Emotional V3)",Unknown,unknown,"Giving Guide 2021 – Emotional V3","7-day click or 1-day view",,,0,0,,0,,0,,2021-12-23,2022-01-04,2021-11-15,2022-01-31
"Giving Guide 2021 – Emotional V3","It can be overwhelming with so many problems in the world. Fortunately, we can do *a lot* to help, if we give effectively.

Check out the Effective Giving Guide 2021. It'll help you find the most impactful charities across a range of causes.","Philanthropy (Emotional V3)","Philanthropy (Emotional V3)",Unknown,unknown,"Giving Guide 2021 – Emotional V3","7-day click or 1-day view",,,0,0,,0,,0,,2021-12-23,2022-01-04,2021-11-15,2022-01-31
"Giving Guide 2021 – Factual","Did you know that the best charities can have a 100x greater impact?
Download our free Effective Giving Guide for the best tips on doing the most good this holiday season.","Climate Change (Factual)","Climate Change (Factual)",35-44,unknown,"Giving Guide 2021 – Factual","7-day click or 1-day view",,,3,4,,0.069990291800732,,1.3333333333333,,2021-11-30,2021-12-08,2021-11-15,2022-01-31
"Giving Guide 2021 – Factual","Want to make a bigger difference next year? Start with our Effective Giving Guide and learn how to make a remarkable impact just by carefully choosing the charities you give to.","Climate Change (Factual)","Climate Change (Factual)",55-64,unknown,"Giving Guide 2021 – Factual","7-day click or 1-day view",,,9,10,,0.91987240652391,,1.1111111111111,,2021-11-30,2021-12-08,2021-11-15,2022-01-31
"Giving Guide 2021 – Factual","Want to make a bigger difference next year? Start with our Effective Giving Guide and learn how to make a remarkable impact just by carefully choosing the charities you give to.","Climate Change (Factual)","Climate Change (Factual)",45-54,unknown,"Giving Guide 2021 – Factual","7-day click or 1-day view",,,12,14,,0.94986824586708,,1.1666666666667,,2021-11-30,2021-12-08,2021-11-15,2022-01-31
"Giving Guide 2021 – Emotional V3","Want to make a bigger difference next year? Start with our Effective Giving Guide and learn how to make a remarkable impact just by carefully choosing the charities you give to.","Philanthropy (Emotional V3)","Philanthropy (Emotional V3)",18-24,unknown,"Giving Guide 2021 – Emotional V3","7-day click or 1-day view",,,77,77,,0.90067889192353,1,1,,2021-12-23,2022-01-04,2021-11-15,2022-01-31
"Giving Guide 2021 – PPCo Creatives","Use our free guide to learn how to make a bigger impact on the causes you care about most.","Emotional + Factual (Animated)","General Population (18-39)",65+,unknown,"Giving Guide 2021 – PPCo Creatives","7-day click or 1-day view",,,0,0,,0,,0,,2022-01-07,2022-01-17,2021-11-15,2022-01-31
"Giving Guide 2021 – Factual V2","Giving What We Can has helped 6,000+ people make a bigger impact on the causes they care about most. Download our free guide and learn how you can do the same.","Climate Change (Factual V2)","Climate Change (Factual V2)",55-64,unknown,"Giving Guide 2021 – Factual V2","7-day click or 1-day view",,,16,16,,0.50131144957392,,1,,2021-12-08,2021-12-20,2021-11-15,2022-01-31
"Giving Guide 2021 – PPCo Creatives","Use our free guide to learn how to make a bigger impact on the causes you care about most.","Emotional + Factual (Animated)","General Population (18-39)",13-17,unknown,"Giving Guide 2021 – PPCo Creatives","7-day click or 1-day view",,,2,2,,0,,1,,2022-01-07,2022-01-17,2021-11-15,2022-01-31
"Giving Guide 2021 – Factual V2","Giving What We Can has helped 6,000+ people make a bigger impact on the causes they care about most. Download our free guide and learn how you can do the same.","Climate Change (Factual V2)","Climate Change (Factual V2)",25-34,unknown,"Giving Guide 2021 – Factual V2","7-day click or 1-day view",,,14,14,,0.94246552519897,,1,,2021-12-08,2021-12-20,2021-11-15,2022-01-31
"Giving Guide 2021 – Factual V2","Giving What We Can has helped 6,000+ people make a bigger impact on the causes they care about most. Download our free guide and learn how you can do the same.","Climate Change (Factual V2)","Climate Change (Factual V2)",65+,unknown,"Giving Guide 2021 – Factual V2","7-day click or 1-day view",,,24,24,,0.67175734242905,,1,,2021-12-08,2021-12-20,2021-11-15,2022-01-31
"Giving Guide 2021 – Factual V2","Giving What We Can has helped 6,000+ people make a bigger impact on the causes they care about most. Download our free guide and learn how you can do the same.","Climate Change (Factual V2)","Climate Change (Factual V2)",35-44,unknown,"Giving Guide 2021 – Factual V2","7-day click or 1-day view",,,6,7,,0.12031474789774,,1.1666666666667,,2021-12-08,2021-12-20,2021-11-15,2022-01-31
"Giving Guide 2021 – PPCo Creatives","Giving What We Can has helped 6,000+ people make a bigger impact on the causes they care about most. Download our free guide and learn how you can do the same.","Emotional + Factual (Animated)","General Population (18-39)",13-17,unknown,"Giving Guide 2021 – PPCo Creatives","7-day click or 1-day view",,,1,1,,0.01,,1,,2022-01-07,2022-01-17,2021-11-15,2022-01-31
"Giving Guide 2021 – PPCo Creatives","Only 3% of donors give based on charity effectiveness yet the best charities can be 100x more impactful. That’s incredible!

Check out the Effective Giving Guide 2021. It'll help you find the most impactful charities across a range of causes.","Emotional + Factual (Animated)","General Population (18-39)",65+,unknown,"Giving Guide 2021 – PPCo Creatives","7-day click or 1-day view",,,0,0,,0,,0,,2022-01-07,2022-01-17,2021-11-15,2022-01-31
"Giving Guide 2021 – Factual V2","Giving What We Can has helped 6,000+ people make a bigger impact on the causes they care about most. Download our free guide and learn how you can do the same.","Climate Change (Factual V2)","Climate Change (Factual V2)",45-54,unknown,"Giving Guide 2021 – Factual V2","7-day click or 1-day view",,,10,10,,0.17044589285513,,1,,2021-12-08,2021-12-20,2021-11-15,2022-01-31
"Giving Guide 2021 – PPCo Creatives","Giving What We Can has helped 6,000+ people make a bigger impact on the causes they care about most. Download our free guide and learn how you can do the same.","Emotional + Factual (Animated)","General Population (18-39)",Unknown,unknown,"Giving Guide 2021 – PPCo Creatives","7-day click or 1-day view",,,0,0,,0,,0,,2022-01-07,2022-01-17,2021-11-15,2022-01-31
"Giving Guide 2021 – Factual V2","Only 3% of donors give based on charity effectiveness yet the best charities can be 100x more impactful. That’s incredible!

Check out the Effective Giving Guide 2021. It'll help you find the most impactful charities across a range of causes.","Climate Change (Factual V2)","Climate Change (Factual V2)",18-24,unknown,"Giving Guide 2021 – Factual V2","7-day click or 1-day view",,,16,29,,0.29076064075287,,1.8125,,2021-12-08,2021-12-20,2021-11-15,2022-01-31
"Giving Guide 2021 – Factual V2","Only 3% of donors give based on charity effectiveness yet the best charities can be 100x more impactful. That’s incredible!

Check out the Effective Giving Guide 2021. It'll help you find the most impactful charities across a range of causes.","Climate Change (Factual V2)","Climate Change (Factual V2)",25-34,unknown,"Giving Guide 2021 – Factual V2","7-day click or 1-day view",,,32,35,,0.53139013654835,,1.09375,,2021-12-08,2021-12-20,2021-11-15,2022-01-31
"Giving Guide 2021 – Factual V2","Only 3% of donors give based on charity effectiveness yet the best charities can be 100x more impactful. That’s incredible!

Check out the Effective Giving Guide 2021. It'll help you find the most impactful charities across a range of causes.","Climate Change (Factual V2)","Climate Change (Factual V2)",55-64,unknown,"Giving Guide 2021 – Factual V2","7-day click or 1-day view",,,100,103,,2.3361113550145,1,1.03,,2021-12-08,2021-12-20,2021-11-15,2022-01-31
"Giving Guide 2021 – Factual V2","Only 3% of donors give based on charity effectiveness yet the best charities can be 100x more impactful. That’s incredible!

Check out the Effective Giving Guide 2021. It'll help you find the most impactful charities across a range of causes.","Climate Change (Factual V2)","Climate Change (Factual V2)",35-44,unknown,"Giving Guide 2021 – Factual V2","7-day click or 1-day view",,,48,48,,0.75196717436088,,1,,2021-12-08,2021-12-20,2021-11-15,2022-01-31
"Giving Guide 2021 – PPCo Creatives","Only 3% of donors give based on charity effectiveness yet the best charities can be 100x more impactful. That’s incredible!

Check out the Effective Giving Guide 2021. It'll help you find the most impactful charities across a range of causes.","Emotional + Factual (Animated)","General Population (18-39)",Unknown,unknown,"Giving Guide 2021 – PPCo Creatives","7-day click or 1-day view",,,0,0,,0,,0,,2022-01-07,2022-01-17,2021-11-15,2022-01-31
"Giving Guide 2021 – PPCo Creatives","Want to make a bigger difference next year? Start with our Effective Giving Guide and learn how to make a remarkable impact just by carefully choosing the charities you give to.","Emotional + Factual (Animated)","General Population (18-39)",Unknown,unknown,"Giving Guide 2021 – PPCo Creatives","7-day click or 1-day view",,,0,0,,0,,0,,2022-01-07,2022-01-17,2021-11-15,2022-01-31
"Giving Guide 2021 – Factual V2","Giving What We Can has helped 6,000+ people make a bigger impact on the causes they care about most. Download our free guide and learn how you can do the same.","Climate Change (Factual V2)","Climate Change (Factual V2)",18-24,unknown,"Giving Guide 2021 – Factual V2","7-day click or 1-day view",,,4,4,,0,,1,,2021-12-08,2021-12-20,2021-11-15,2022-01-31
"Giving Guide 2021 – PPCo Creatives","Want to make a bigger difference next year? Start with our Effective Giving Guide and learn how to make a remarkable impact just by carefully choosing the charities you give to.","Emotional + Factual (Animated)","General Population (18-39)",13-17,unknown,"Giving Guide 2021 – PPCo Creatives","7-day click or 1-day view",,,2,2,,0.01,,1,,2022-01-07,2022-01-17,2021-11-15,2022-01-31
"Giving Guide 2021 – Factual","Want to make a bigger difference next year? Start with our Effective Giving Guide and learn how to make a remarkable impact just by carefully choosing the charities you give to.","Climate Change (Factual)","Climate Change (Factual)",25-34,unknown,"Giving Guide 2021 – Factual","7-day click or 1-day view",,,10,11,,0.25996394097415,,1.1,,2021-11-30,2021-12-08,2021-11-15,2022-01-31
"Giving Guide 2021 – PPCo Creatives","Giving What We Can has helped 6,000+ people make a bigger impact on the causes they care about most. Download our free guide and learn how you can do the same.","Emotional + Factual (Animated)","General Population (18-39)",18-24,unknown,"Giving Guide 2021 – PPCo Creatives","7-day click or 1-day view",,,28,32,,0.2,,1.1428571428571,,2022-01-07,2022-01-17,2021-11-15,2022-01-31
"Giving Guide 2021 – Factual","Want to make a bigger difference next year? Start with our Effective Giving Guide and learn how to make a remarkable impact just by carefully choosing the charities you give to.","Climate Change (Factual)","Climate Change (Factual)",65+,unknown,"Giving Guide 2021 – Factual","7-day click or 1-day view",,,11,12,,0.9298710196383,,1.0909090909091,,2021-11-30,2021-12-08,2021-11-15,2022-01-31
"Giving Guide 2021 – Factual","Want to make a bigger difference next year? Start with our Effective Giving Guide and learn how to make a remarkable impact just by carefully choosing the charities you give to.","Climate Change (Factual)","Climate Change (Factual)",18-24,unknown,"Giving Guide 2021 – Factual","7-day click or 1-day view",,,10,10,,0.099986131143903,,1,,2021-11-30,2021-12-08,2021-11-15,2022-01-31
"Giving Guide 2021 – PPCo Creatives","Want to make a bigger difference next year? Start with our Effective Giving Guide and learn how to make a remarkable impact just by carefully choosing the charities you give to.","Emotional + Factual (Animated)","General Population (18-39)",25-34,unknown,"Giving Guide 2021 – PPCo Creatives","7-day click or 1-day view",,,36,39,,0.33,,1.0833333333333,,2022-01-07,2022-01-17,2021-11-15,2022-01-31
"Giving Guide 2021 – PPCo Creatives","Giving What We Can has helped 6,000+ people make a bigger impact on the causes they care about most. Download our free guide and learn how you can do the same.","Emotional + Factual (Animated)","General Population (18-39)",25-34,unknown,"Giving Guide 2021 – PPCo Creatives","7-day click or 1-day view",,,37,38,,0.93,,1.027027027027,,2022-01-07,2022-01-17,2021-11-15,2022-01-31
"Giving Guide 2021 – PPCo Creatives","Use our free guide to learn how to make a bigger impact on the causes you care about most.","Emotional + Factual (Animated)","General Population (18-39)",35-44,unknown,"Giving Guide 2021 – PPCo Creatives","7-day click or 1-day view","On-Facebook Leads",1,28,33,0.24,0.24,,1.1785714285714,,2022-01-07,2022-01-17,2021-11-15,2022-01-31
"Giving Guide 2021 – PPCo Creatives","Giving What We Can has helped 6,000+ people make a bigger impact on the causes they care about most. Download our free guide and learn how you can do the same.","Emotional + Factual (Animated)","General Population (18-39)",35-44,unknown,"Giving Guide 2021 – PPCo Creatives","7-day click or 1-day view",,,28,32,,0.41,,1.1428571428571,,2022-01-07,2022-01-17,2021-11-15,2022-01-31
"Giving Guide 2021 – PPCo Creatives","Did you know that the best charities can have a 100x greater impact?
Download our free Effective Giving Guide for the best tips on doing the most good this holiday season.","Emotional + Factual (Animated)","General Population (18-39)",18-24,unknown,"Giving Guide 2021 – PPCo Creatives","7-day click or 1-day view",,,29,30,,0.31,,1.0344827586207,,2022-01-07,2022-01-17,2021-11-15,2022-01-31
"Giving Guide 2021 – Factual V2","Only 3% of donors give based on charity effectiveness yet the best charities can be 100x more impactful. That’s incredible!

Check out the Effective Giving Guide 2021. It'll help you find the most impactful charities across a range of causes.","Climate Change (Factual V2)","Climate Change (Factual V2)",Unknown,unknown,"Giving Guide 2021 – Factual V2","7-day click or 1-day view",,,0,0,,0,,0,,2021-12-08,2021-12-20,2021-11-15,2022-01-31
"Giving Guide 2021 – PPCo Creatives","Want to make a bigger difference next year? Start with our Effective Giving Guide and learn how to make a remarkable impact just by carefully choosing the charities you give to.","Emotional + Factual (Animated)","General Population (18-39)",18-24,unknown,"Giving Guide 2021 – PPCo Creatives","7-day click or 1-day view",,,27,28,,0.22,1,1.037037037037,,2022-01-07,2022-01-17,2021-11-15,2022-01-31
