"Campaign name","Ad name","Image, video and slideshow","Ad Set Name",Reach,Impressions,"Attribution setting","Result type",Results,"Amount spent (USD)",Starts,Ends,"Link clicks","Cost per result","Reporting starts","Unique link clicks","Reporting ends"
"Giving Guide 2021 – PPCo Creatives","Emotional + Factual (Animated)","ggwc_emotional_set_3 (1).mp4 (287217033315901)","Retargeting (18-39)",2,2,"7-day click or 1-day view",,,0.01,2022-01-07,2022-01-18,,,2021-11-20,,2022-01-31
"Giving Guide 2021 – Emotional V3","Global Poverty (Emotional V3)","New Giving Guide Video Ad Filmed Emotional - Global Poverty.m4v (310307280993116)","Global Poverty (Emotional V3)",1,1,"7-day click or 1-day view",,,0.01,2021-12-23,2022-01-04,,,2021-11-20,,2022-01-31
"Giving Guide 2021 – Emotional V3","Global Poverty (Emotional V3)","Auto_Cropped_AR_4_X_5_DCO_Free Effective Giving Guide 2021 (1099193744229928)","Global Poverty (Emotional V3)",2,2,"7-day click or 1-day view",,,0.01,2021-12-23,2022-01-04,,,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual","Global Poverty (Factual)","Auto_Cropped_AR_4_X_5_DCO_V4_ggwc_factual_final1 (1).mp4 (366905015235606)","Global Poverty (Factual)",1,1,"7-day click or 1-day view",,,0.01,2021-11-30,2021-12-08,,,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual","Animal Welfare (Factual)","Auto_Cropped_AR_4_X_5_DCO_V4_ggwc_factual_final1 (1).mp4 (366904585235649)","Animal Welfare (Factual)",1,1,"7-day click or 1-day view",,,0.0099980597594102,2021-11-30,2021-12-08,,,2021-11-20,,2022-01-31
"Giving Guide 2021 - Emotional","Philanthropy (Emotional)","ggwc_emotional_set_2 (1).mp4 (717231612998210)","Retargeting (Emotional)",1,1,"7-day click or 1-day view",,,0,2021-12-03,2021-12-20,,,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual V3","Global Poverty (Factual V3)","Auto_Cropped_AR_4_X_5_DCO_V4_gg_factual_short.mp4 (2882597601962794)","Global Poverty (Factual V3)",4,4,"7-day click or 1-day view",,,0,2021-12-23,2022-01-04,,,2021-11-20,,2022-01-31
"Giving Guide 2021 – PPCo Creatives","Emotional + Factual (Animated)","ggwc_emotional_set_3 (1).mp4 (287217033315901)","Philanthropy + Lookalikes (18-39)",2,2,"7-day click or 1-day view",,,0,2022-01-07,2022-01-17,,,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual V3","Retargeting (Factual V3)","cropped_4X5_(x, y)_(0, 394)_width_1080px_height_1354px_New Giving Guide Video Ad Filmed Factual Short.m4v (487059362838361)","Retargeting (Factual V3)",1,1,"7-day click or 1-day view",,,0,2021-12-23,2022-01-04,,,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual V3","Retargeting (Factual V3)","New Giving Guide Video Ad Filmed Factual Short.m4v (235565945256052)","Retargeting (Factual V3)",2,2,"7-day click or 1-day view",,,0,2021-12-23,2022-01-04,,,2021-11-20,,2022-01-31
"Giving Guide 2021 – Emotional V3","Global Poverty (Emotional V3)","ggwc_emotional_set_3 (1).mp4 (287217033315901)","Global Poverty (Emotional V3)",2,2,"7-day click or 1-day view",,,0,2021-12-23,2022-01-04,,,2021-11-20,,2022-01-31
"Giving Guide 2021 – Emotional V3","Climate Change (Emotional V3)","New Giving Guide Video Ad Filmed Emotional - Climate Change.m4v (279510247542681)","Climate Change (Emotional V3)",1,1,"7-day click or 1-day view",,,0,2021-12-23,2022-01-04,,,2021-11-20,,2022-01-31
"Giving Guide 2021 – Emotional V3","Retargeting (Emotional V3)","ggwc_emotional_set_3 (1).mp4 (287217033315901)","Retargeting (Emotional V3)",1,1,"7-day click or 1-day view",,,0,2021-12-23,2022-01-04,,,2021-11-20,,2022-01-31
"Giving Guide 2021 – Emotional V3","Retargeting (Emotional V3)","cropped_4X5_(x, y)_(0, 158)_width_720px_height_899px_New Giving Guide Video Ad Filmed Emotional - Global Poverty.m4v (265751598880484)","Retargeting (Emotional V3)",1,1,"7-day click or 1-day view",,,0,2021-12-23,2022-01-04,,,2021-11-20,,2022-01-31
"Giving Guide 2021 – Emotional V3","Retargeting (Emotional V3)","Auto_Cropped_AR_4_X_5_DCO_V2_ggwc_emotional_set_1 (1).mp4 (318095873501692)","Retargeting (Emotional V3)",1,1,"7-day click or 1-day view",,,0,2021-12-23,2022-01-04,,,2021-11-20,,2022-01-31
"Giving Guide 2021 – Emotional V3","Retargeting (Emotional V3)","cropped_4X5_(x, y)_(0, 158)_width_720px_height_899px_New Giving Guide Video Ad Filmed Emotional - Global Poverty.m4v (265751598880484)","Retargeting (Emotional V3)",2,2,"7-day click or 1-day view",,,0,2021-12-23,2022-01-04,,,2021-11-20,,2022-01-31
"Giving Guide 2021 – Emotional V3","Lookalikes (Emotional V3)","Auto_Cropped_AR_4_X_5_DCO_V2_ggwc_emotional_set_3 (1).mp4 (946941329258535)","Lookalikes (Emotional V3)",1,1,"7-day click or 1-day view",,,0,2021-12-23,2022-01-04,,,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual","Retargeting (Factual)","ggwc_factual_final1 (1).mp4 (886232108921551)","Retargeting (Factual)",1,1,"7-day click or 1-day view",,,0,2021-12-03,2021-12-08,,,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual","Retargeting (Factual)","gg_factual_short.mp4 (1298714567312091)","Retargeting (Factual)",1,1,"7-day click or 1-day view",,,0,2021-12-03,2021-12-08,,,2021-11-20,,2022-01-31
"Giving Guide 2021 – Emotional V3","Climate Change (Emotional V3)","Auto_Cropped_AR_4_X_5_DCO_ggwc_emotional_set_2 (1).mp4 (254244539987515)","Climate Change (Emotional V3)",2,3,"7-day click or 1-day view",,,0,2021-12-23,2022-01-04,,,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual V3","Animal Welfare (Factual V3)","New Giving Guide Video Ad Filmed Factual Short.m4v (235578605254786)","Animal Welfare (Factual V3)",2,2,"7-day click or 1-day view",,,0,2021-12-23,2022-01-04,,,2021-11-20,,2022-01-31
