"Campaign name","Ad name",Text,"Campaign name","Attribution setting","Result type",Results,Reach,Impressions,"Cost per result","Amount spent (USD)","Link clicks",Frequency,"Unique link clicks","Start Pledge (New)",Starts,Ends,"Reporting starts","Reporting ends"
"Giving Guide 2021 - Emotional","Lookalikes (Emotional)","Whether we’re moved by animal welfare, the climate crisis, or worldwide humanitarian efforts, our community is united by one thing: making the biggest impact we can. 
 
Make a bigger difference in the world through charitable giving. Start by downloading our Effective Giving Guide. You’ll learn how to approach charity research and smart giving. And be sure to share it with others who care about making a greater impact on the causes closest to their hearts.","Giving Guide 2021 - Emotional","7-day click or 1-day view","On-Facebook Leads",34,5842,6553,8.0256401412888,272.87176480382,71,1.1217048955837,,,2021-11-30,2021-12-20,2021-11-15,2022-01-31
"Giving Guide 2021 - Emotional","Animal Welfare (Emotional)","Whether we’re moved by animal welfare, the climate crisis, or worldwide humanitarian efforts, our community is united by one thing: making the biggest impact we can. 
 
Make a bigger difference in the world through charitable giving. Start by downloading our Effective Giving Guide. You’ll learn how to approach charity research and smart giving. And be sure to share it with others who care about making a greater impact on the causes closest to their hearts.","Giving Guide 2021 - Emotional","7-day click or 1-day view","On-Facebook Leads",20,4956,5522,9.1730230454812,183.46046090962,38,1.1142050040355,,,2021-11-30,2021-12-20,2021-11-15,2022-01-31
"Giving Guide 2021 - Emotional","Climate Change (Emotional)","It can be overwhelming with so many problems in the world. Fortunately, we can do *a lot* to help, if we give effectively.

Check out the Effective Giving Guide 2021. It'll help you find the most impactful charities across a range of causes.","Giving Guide 2021 - Emotional","7-day click or 1-day view","On-Facebook Leads",1,200,217,6.5826105931363,6.5826105931363,3,1.085,,,2021-11-30,2021-12-20,2021-11-15,2022-01-31
"Giving Guide 2021 - Emotional","Philanthropy (Emotional)","Whether we’re moved by animal welfare, the climate crisis, or worldwide humanitarian efforts, our community is united by one thing: making the biggest impact we can. 
 
Make a bigger difference in the world through charitable giving. Start by downloading our Effective Giving Guide. You’ll learn how to approach charity research and smart giving. And be sure to share it with others who care about making a greater impact on the causes closest to their hearts.","Giving Guide 2021 - Emotional","7-day click or 1-day view","On-Facebook Leads",31,8228,8989,9.7184058150844,301.27058026762,80,1.0924890617404,,,2021-11-30,2021-12-20,2021-11-15,2022-01-31
"Giving Guide 2021 - Emotional","Philanthropy (Emotional)","Use our free guide to learn how to make a bigger impact on the causes you care about most.","Giving Guide 2021 - Emotional","7-day click or 1-day view","On-Facebook Leads",29,9028,10226,11.712197642486,339.65373163209,85,1.1326982720425,,,2021-11-30,2021-12-20,2021-11-15,2022-01-31
"Giving Guide 2021 - Emotional","Philanthropy (Emotional)","Want to make a bigger difference next year? Start with our Effective Giving Guide and learn how to make a remarkable impact just by carefully choosing the charities you give to.","Giving Guide 2021 - Emotional","7-day click or 1-day view","On-Facebook Leads",31,9243,10451,11.794650452202,365.63416401825,97,1.1306934977821,,,2021-11-30,2021-12-20,2021-11-15,2022-01-31
"Giving Guide 2021 - Emotional","Animal Welfare (Emotional)","It can be overwhelming with so many problems in the world. Fortunately, we can do *a lot* to help, if we give effectively.

Check out the Effective Giving Guide 2021. It'll help you find the most impactful charities across a range of causes.","Giving Guide 2021 - Emotional","7-day click or 1-day view","On-Facebook Leads",24,5479,6127,8.7769677109685,210.64722506324,66,1.118269757255,,,2021-11-30,2021-12-20,2021-11-15,2022-01-31
"Giving Guide 2021 - Emotional","Animal Welfare (Emotional)","Want to make a bigger difference next year? Start with our Effective Giving Guide and learn how to make a remarkable impact just by carefully choosing the charities you give to.","Giving Guide 2021 - Emotional","7-day click or 1-day view","On-Facebook Leads",92,20764,26349,9.960746922076,916.38871683099,234,1.2689751492969,,,2021-11-30,2021-12-20,2021-11-15,2022-01-31
"Giving Guide 2021 - Emotional","Animal Welfare (Emotional)","Giving What We Can has helped 6,000+ people make a bigger impact on the causes they care about most. Download our free guide and learn how you can do the same.","Giving Guide 2021 - Emotional","7-day click or 1-day view","On-Facebook Leads",20,4941,5345,8.9852857893243,179.70571578649,57,1.0817648249342,,,2021-11-30,2021-12-20,2021-11-15,2022-01-31
"Giving Guide 2021 - Emotional","Climate Change (Emotional)","Use our free guide to learn how to make a bigger impact on the causes you care about most.","Giving Guide 2021 - Emotional","7-day click or 1-day view","On-Facebook Leads",2,841,1029,12.519965284666,25.039930569331,29,1.2235434007134,,,2021-11-30,2021-12-20,2021-11-15,2022-01-31
"Giving Guide 2021 - Emotional","Climate Change (Emotional)","Want to make a bigger difference next year? Start with our Effective Giving Guide and learn how to make a remarkable impact just by carefully choosing the charities you give to.","Giving Guide 2021 - Emotional","7-day click or 1-day view",,,259,297,,6.8227058123388,3,1.1467181467181,,,2021-11-30,2021-12-20,2021-11-15,2022-01-31
"Giving Guide 2021 - Emotional","Climate Change (Emotional)","Whether we’re moved by animal welfare, the climate crisis, or worldwide humanitarian efforts, our community is united by one thing: making the biggest impact we can. 
 
Make a bigger difference in the world through charitable giving. Start by downloading our Effective Giving Guide. You’ll learn how to approach charity research and smart giving. And be sure to share it with others who care about making a greater impact on the causes closest to their hearts.","Giving Guide 2021 - Emotional","7-day click or 1-day view",,,254,274,,5.7322733584606,3,1.0787401574803,,,2021-11-30,2021-12-20,2021-11-15,2022-01-31
"Giving Guide 2021 - Emotional","Climate Change (Emotional)","Giving What We Can has helped 6,000+ people make a bigger impact on the causes they care about most. Download our free guide and learn how you can do the same.","Giving Guide 2021 - Emotional","7-day click or 1-day view",,,226,242,,6.2524796667328,3,1.070796460177,,,2021-11-30,2021-12-20,2021-11-15,2022-01-31
"Giving Guide 2021 - Emotional","Animal Welfare (Emotional)","Use our free guide to learn how to make a bigger impact on the causes you care about most.","Giving Guide 2021 - Emotional","7-day click or 1-day view","On-Facebook Leads",15,4745,5151,11.507858760644,172.61788140966,41,1.0855637513172,,,2021-11-30,2021-12-20,2021-11-15,2022-01-31
"Giving Guide 2021 – Emotional V3","Retargeting (Emotional V3)","Want to make a bigger difference next year? Start with our Effective Giving Guide and learn how to make a remarkable impact just by carefully choosing the charities you give to.","Giving Guide 2021 – Emotional V3","7-day click or 1-day view",,,5,6,,0.08,,1.2,,,2021-12-23,2022-01-04,2021-11-15,2022-01-31
"Giving Guide 2021 – Emotional V3","Philanthropy (Emotional V3)","Want to make a bigger difference next year? Start with our Effective Giving Guide and learn how to make a remarkable impact just by carefully choosing the charities you give to.","Giving Guide 2021 – Emotional V3","7-day click or 1-day view","On-Facebook Leads",13,6552,7128,5.9745033164261,77.668543113539,26,1.0879120879121,,,2021-12-23,2022-01-04,2021-11-15,2022-01-31
"Giving Guide 2021 – Emotional V3","Retargeting (Emotional V3)","Giving What We Can has helped 6,000+ people make a bigger impact on the causes they care about most. Download our free guide and learn how you can do the same.","Giving Guide 2021 – Emotional V3","7-day click or 1-day view",,,3,3,,0,,1,,,2021-12-23,2022-01-04,2021-11-15,2022-01-31
"Giving Guide 2021 – Emotional V3","Retargeting (Emotional V3)","Whether we’re moved by animal welfare, the climate crisis, or worldwide humanitarian efforts, our community is united by one thing: making the biggest impact we can. 
 
Make a bigger difference in the world through charitable giving. Start by downloading our Effective Giving Guide. You’ll learn how to approach charity research and smart giving. And be sure to share it with others who care about making a greater impact on the causes closest to their hearts.","Giving Guide 2021 – Emotional V3","7-day click or 1-day view",,,12,22,,0.14,,1.8333333333333,,,2021-12-23,2022-01-04,2021-11-15,2022-01-31
"Giving Guide 2021 – Emotional V3","Animal Welfare (Emotional V3)","Want to make a bigger difference next year? Start with our Effective Giving Guide and learn how to make a remarkable impact just by carefully choosing the charities you give to.","Giving Guide 2021 – Emotional V3","7-day click or 1-day view","On-Facebook Leads",7,2152,2319,4.5985714285714,32.19,15,1.0776022304833,,,2021-12-23,2022-01-04,2021-11-15,2022-01-31
"Giving Guide 2021 – Emotional V3","Retargeting (Emotional V3)","Use our free guide to learn how to make a bigger impact on the causes you care about most.","Giving Guide 2021 – Emotional V3","7-day click or 1-day view",,,4,4,,0.04,,1,,,2021-12-23,2022-01-04,2021-11-15,2022-01-31
"Giving Guide 2021 – Emotional V3","Retargeting (Emotional V3)","It can be overwhelming with so many problems in the world. Fortunately, we can do *a lot* to help, if we give effectively.

Check out the Effective Giving Guide 2021. It'll help you find the most impactful charities across a range of causes.","Giving Guide 2021 – Emotional V3","7-day click or 1-day view",,,5,5,,0.01,,1,,,2021-12-23,2022-01-04,2021-11-15,2022-01-31
"Giving Guide 2021 – Emotional V3","Animal Welfare (Emotional V3)","Whether we’re moved by animal welfare, the climate crisis, or worldwide humanitarian efforts, our community is united by one thing: making the biggest impact we can. 
 
Make a bigger difference in the world through charitable giving. Start by downloading our Effective Giving Guide. You’ll learn how to approach charity research and smart giving. And be sure to share it with others who care about making a greater impact on the causes closest to their hearts.","Giving Guide 2021 – Emotional V3","7-day click or 1-day view","On-Facebook Leads",3,2419,2602,12.62,37.86,15,1.075651095494,,,2021-12-23,2022-01-04,2021-11-15,2022-01-31
"Giving Guide 2021 – Emotional V3","Animal Welfare (Emotional V3)","It can be overwhelming with so many problems in the world. Fortunately, we can do *a lot* to help, if we give effectively.

Check out the Effective Giving Guide 2021. It'll help you find the most impactful charities across a range of causes.","Giving Guide 2021 – Emotional V3","7-day click or 1-day view","On-Facebook Leads",6,2557,2779,6.6083333333333,39.65,10,1.086820492765,,,2021-12-23,2022-01-04,2021-11-15,2022-01-31
"Giving Guide 2021 – Emotional V3","Animal Welfare (Emotional V3)","Giving What We Can has helped 6,000+ people make a bigger impact on the causes they care about most. Download our free guide and learn how you can do the same.","Giving Guide 2021 – Emotional V3","7-day click or 1-day view","On-Facebook Leads",17,9586,11863,9.8764705882353,167.9,47,1.2375339036094,,,2021-12-23,2022-01-04,2021-11-15,2022-01-31
"Giving Guide 2021 – Emotional V3","Philanthropy (Emotional V3)","Use our free guide to learn how to make a bigger impact on the causes you care about most.","Giving Guide 2021 – Emotional V3","7-day click or 1-day view","On-Facebook Leads",14,9048,9796,7.6507668097282,107.11073533619,23,1.0826702033599,,,2021-12-23,2022-01-04,2021-11-15,2022-01-31
"Giving Guide 2021 – Emotional V3","Philanthropy (Emotional V3)","Whether we’re moved by animal welfare, the climate crisis, or worldwide humanitarian efforts, our community is united by one thing: making the biggest impact we can. 
 
Make a bigger difference in the world through charitable giving. Start by downloading our Effective Giving Guide. You’ll learn how to approach charity research and smart giving. And be sure to share it with others who care about making a greater impact on the causes closest to their hearts.","Giving Guide 2021 – Emotional V3","7-day click or 1-day view","On-Facebook Leads",8,8082,9087,12.398095135908,99.184761087268,33,1.1243504083148,,,2021-12-23,2022-01-04,2021-11-15,2022-01-31
"Giving Guide 2021 – Emotional V3","Global Poverty (Emotional V3)","Giving What We Can has helped 6,000+ people make a bigger impact on the causes they care about most. Download our free guide and learn how you can do the same.","Giving Guide 2021 – Emotional V3","7-day click or 1-day view","On-Facebook Leads",3,1750,1866,7.4066666666667,22.22,9,1.0662857142857,,,2021-12-23,2022-01-04,2021-11-15,2022-01-31
"Giving Guide 2021 – Emotional V3","Philanthropy (Emotional V3)","Giving What We Can has helped 6,000+ people make a bigger impact on the causes they care about most. Download our free guide and learn how you can do the same.","Giving Guide 2021 – Emotional V3","7-day click or 1-day view","On-Facebook Leads",13,12976,15149,13.771919125224,179.03494862791,40,1.1674630086313,,1,2021-12-23,2022-01-04,2021-11-15,2022-01-31
"Giving Guide 2021 – Emotional V3","Philanthropy (Emotional V3)","It can be overwhelming with so many problems in the world. Fortunately, we can do *a lot* to help, if we give effectively.

Check out the Effective Giving Guide 2021. It'll help you find the most impactful charities across a range of causes.","Giving Guide 2021 – Emotional V3","7-day click or 1-day view","On-Facebook Leads",38,24361,30007,8.0652897851339,306.48101183509,87,1.231763884898,,,2021-12-23,2022-01-04,2021-11-15,2022-01-31
"Giving Guide 2021 – Emotional V3","Global Poverty (Emotional V3)","It can be overwhelming with so many problems in the world. Fortunately, we can do *a lot* to help, if we give effectively.

Check out the Effective Giving Guide 2021. It'll help you find the most impactful charities across a range of causes.","Giving Guide 2021 – Emotional V3","7-day click or 1-day view",,,1273,1345,,14.84,3,1.0565593087196,,,2021-12-23,2022-01-04,2021-11-15,2022-01-31
"Giving Guide 2021 – Emotional V3","Global Poverty (Emotional V3)","Want to make a bigger difference next year? Start with our Effective Giving Guide and learn how to make a remarkable impact just by carefully choosing the charities you give to.","Giving Guide 2021 – Emotional V3","7-day click or 1-day view","On-Facebook Leads",3,1474,1586,5.46,16.38,9,1.0759837177748,,,2021-12-23,2022-01-04,2021-11-15,2022-01-31
"Giving Guide 2021 – Emotional V3","Global Poverty (Emotional V3)","Use our free guide to learn how to make a bigger impact on the causes you care about most.","Giving Guide 2021 – Emotional V3","7-day click or 1-day view","On-Facebook Leads",8,1504,1607,2.1925,17.54,9,1.0684840425532,,,2021-12-23,2022-01-04,2021-11-15,2022-01-31
"Giving Guide 2021 – Emotional V3","Global Poverty (Emotional V3)","Whether we’re moved by animal welfare, the climate crisis, or worldwide humanitarian efforts, our community is united by one thing: making the biggest impact we can. 
 
Make a bigger difference in the world through charitable giving. Start by downloading our Effective Giving Guide. You’ll learn how to approach charity research and smart giving. And be sure to share it with others who care about making a greater impact on the causes closest to their hearts.","Giving Guide 2021 – Emotional V3","7-day click or 1-day view","On-Facebook Leads",11,6016,7164,6.5709090909091,72.28,27,1.1908244680851,,,2021-12-23,2022-01-04,2021-11-15,2022-01-31
"Giving Guide 2021 – Emotional V3","Climate Change (Emotional V3)","Use our free guide to learn how to make a bigger impact on the causes you care about most.","Giving Guide 2021 – Emotional V3","7-day click or 1-day view",,,34,34,,0.32,,1,,,2021-12-23,2022-01-04,2021-11-15,2022-01-31
