Campaign name,Ad Set Name,Age,Gender,Text,Reach,Impressions,Frequency,Result type,Results,Cost per result,Amount spent (USD),"CPM (cost per 1,000 impressions)",Link clicks,CPC (cost per link click),CTR (link click-through rate),Clicks (all),CTR (all),"Cost per 1,000 people reached",3-second video plays,ThruPlays,Unique link clicks,Included custom audiences,Reporting starts,Reporting ends
Giving Guide 2021 – Hypercube Brand Video,Climate Change + Lookalikes (18-39),18-24,female,Want to make a bigger difference next year? Start with our Effective Giving Guide and learn how to make a remarkable impact just by carefully choosing the charities you give to.,97,103,1.06185567,,,,1.88,18.25242718,,,,1,0.97087379,19.3814433,19,,,"23847141732800764:Lookalike (AU, CA and 3 others, 1%) - GWWC Members & Try Givers,23847141732860764:Lookalike (AU, CA and 3 others, 2% to 3%) - GWWC Members & Try Givers,23847141732870764:Lookalike (AU, CA and 3 others, 1% to 2%) - GWWC Members & Try Givers,23847141734740764:Lookalike (AU, CA and 3 others, 1%) - GWWC Facebook Page (engaged within 365 days),23847141734790764:Lookalike (AU, CA and 3 others, 1% to 3%) - GWWC Facebook Page (engaged within 365 days)",2021-11-01,2022-01-20
Giving Guide 2021 – Hypercube Brand Video,Climate Change + Lookalikes (18-39),18-24,female,"Giving What We Can has helped 6,000+ people make a bigger impact on the causes they care about most. Download our free guide and learn how you can do the same.",92,94,1.02173913,,,,1.61,17.12765957,,,,0,0,17.5,12,,,"23847141732800764:Lookalike (AU, CA and 3 others, 1%) - GWWC Members & Try Givers,23847141732860764:Lookalike (AU, CA and 3 others, 2% to 3%) - GWWC Members & Try Givers,23847141732870764:Lookalike (AU, CA and 3 others, 1% to 2%) - GWWC Members & Try Givers,23847141734740764:Lookalike (AU, CA and 3 others, 1%) - GWWC Facebook Page (engaged within 365 days),23847141734790764:Lookalike (AU, CA and 3 others, 1% to 3%) - GWWC Facebook Page (engaged within 365 days)",2021-11-01,2022-01-20
Giving Guide 2021 – Hypercube Brand Video,Climate Change + Lookalikes (18-39),18-24,female,"Only 3% of donors give based on charity effectiveness yet the best charities can be 100x more impactful. That’s incredible!

Check out the Effective Giving Guide 2021. It'll help you find the most impactful charities across a range of causes.",84,92,1.095238095,,,,1.44,15.65217391,1,1.44,1.086956522,1,1.08695652,17.14285714,13,,,"23847141732800764:Lookalike (AU, CA and 3 others, 1%) - GWWC Members & Try Givers,23847141732860764:Lookalike (AU, CA and 3 others, 2% to 3%) - GWWC Members & Try Givers,23847141732870764:Lookalike (AU, CA and 3 others, 1% to 2%) - GWWC Members & Try Givers,23847141734740764:Lookalike (AU, CA and 3 others, 1%) - GWWC Facebook Page (engaged within 365 days),23847141734790764:Lookalike (AU, CA and 3 others, 1% to 3%) - GWWC Facebook Page (engaged within 365 days)",2021-11-01,2022-01-20
Giving Guide 2021 – Hypercube Brand Video,Climate Change + Lookalikes (18-39),18-24,male,"Giving What We Can has helped 6,000+ people make a bigger impact on the causes they care about most. Download our free guide and learn how you can do the same.",82,85,1.036585366,On-Facebook Leads,1,1.75,1.75,20.58823529,1,1.75,1.176470588,2,2.35294118,21.34146341,18,,,"23847141732800764:Lookalike (AU, CA and 3 others, 1%) - GWWC Members & Try Givers,23847141732860764:Lookalike (AU, CA and 3 others, 2% to 3%) - GWWC Members & Try Givers,23847141732870764:Lookalike (AU, CA and 3 others, 1% to 2%) - GWWC Members & Try Givers,23847141734740764:Lookalike (AU, CA and 3 others, 1%) - GWWC Facebook Page (engaged within 365 days),23847141734790764:Lookalike (AU, CA and 3 others, 1% to 3%) - GWWC Facebook Page (engaged within 365 days)",2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Climate Change (18-39),18-24,unknown,"Did you know that the best charities can have a 100x greater impact?
Download our free Effective Giving Guide for the best tips on doing the most good this holiday season.",72,77,1.069444444,,,,0.35,4.54545455,,,,0,0,4.86111111,16,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Hypercube Brand Video,Climate Change + Lookalikes (18-39),18-24,male,Want to make a bigger difference next year? Start with our Effective Giving Guide and learn how to make a remarkable impact just by carefully choosing the charities you give to.,71,75,1.056338028,,,,1.56,20.8,,,,0,0,21.97183099,7,,,"23847141732800764:Lookalike (AU, CA and 3 others, 1%) - GWWC Members & Try Givers,23847141732860764:Lookalike (AU, CA and 3 others, 2% to 3%) - GWWC Members & Try Givers,23847141732870764:Lookalike (AU, CA and 3 others, 1% to 2%) - GWWC Members & Try Givers,23847141734740764:Lookalike (AU, CA and 3 others, 1%) - GWWC Facebook Page (engaged within 365 days),23847141734790764:Lookalike (AU, CA and 3 others, 1% to 3%) - GWWC Facebook Page (engaged within 365 days)",2021-11-01,2022-01-20
Giving Guide 2021 – Hypercube Brand Video,Climate Change + Lookalikes (18-39),18-24,male,"Only 3% of donors give based on charity effectiveness yet the best charities can be 100x more impactful. That’s incredible!

Check out the Effective Giving Guide 2021. It'll help you find the most impactful charities across a range of causes.",70,71,1.014285714,,,,1.45,20.42253521,,,,1,1.4084507,20.71428571,17,,,"23847141732800764:Lookalike (AU, CA and 3 others, 1%) - GWWC Members & Try Givers,23847141732860764:Lookalike (AU, CA and 3 others, 2% to 3%) - GWWC Members & Try Givers,23847141732870764:Lookalike (AU, CA and 3 others, 1% to 2%) - GWWC Members & Try Givers,23847141734740764:Lookalike (AU, CA and 3 others, 1%) - GWWC Facebook Page (engaged within 365 days),23847141734790764:Lookalike (AU, CA and 3 others, 1% to 3%) - GWWC Facebook Page (engaged within 365 days)",2021-11-01,2022-01-20
Giving Guide 2021 – Hypercube Brand Video,Climate Change + Lookalikes (18-39),18-24,male,"Did you know that the best charities can have a 100x greater impact?
Download our free Effective Giving Guide for the best tips on doing the most good this holiday season.",57,60,1.052631579,,,,1.04,17.33333333,,,,0,0,18.24561404,9,,,"23847141732800764:Lookalike (AU, CA and 3 others, 1%) - GWWC Members & Try Givers,23847141732860764:Lookalike (AU, CA and 3 others, 2% to 3%) - GWWC Members & Try Givers,23847141732870764:Lookalike (AU, CA and 3 others, 1% to 2%) - GWWC Members & Try Givers,23847141734740764:Lookalike (AU, CA and 3 others, 1%) - GWWC Facebook Page (engaged within 365 days),23847141734790764:Lookalike (AU, CA and 3 others, 1% to 3%) - GWWC Facebook Page (engaged within 365 days)",2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Climate Change (18-39),18-24,male,"Only 3% of donors give based on charity effectiveness yet the best charities can be 100x more impactful. That’s incredible!

Check out the Effective Giving Guide 2021. It'll help you find the most impactful charities across a range of causes.",358,371,1.036312849,On-Facebook Leads,1,2.97,2.97,8.00539084,2,1.485,0.539083558,4,1.07816712,8.29608939,67,,,,2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Climate Change (18-39),18-24,female,"Only 3% of donors give based on charity effectiveness yet the best charities can be 100x more impactful. That’s incredible!

Check out the Effective Giving Guide 2021. It'll help you find the most impactful charities across a range of causes.",581,618,1.063683305,On-Facebook Leads,1,5.94,5.94,9.61165049,5,1.188,0.809061489,8,1.29449838,10.22375215,94,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Factual V2,Lookalikes (Factual V2),18-24,unknown,"Only 3% of donors give based on charity effectiveness yet the best charities can be 100x more impactful. That’s incredible!

Check out the Effective Giving Guide 2021. It'll help you find the most impactful charities across a range of causes.",6,14,2.333333333,,,,0.29,20.7496164,,,,0,0,48.4157716,6,,,"23847141732800764:Lookalike (AU, CA and 3 others, 1%) - GWWC Members & Try Givers,23847141732860764:Lookalike (AU, CA and 3 others, 2% to 3%) - GWWC Members & Try Givers,23847141732870764:Lookalike (AU, CA and 3 others, 1% to 2%) - GWWC Members & Try Givers,23847141734740764:Lookalike (AU, CA and 3 others, 1%) - GWWC Facebook Page (engaged within 365 days),23847141734790764:Lookalike (AU, CA and 3 others, 1% to 3%) - GWWC Facebook Page (engaged within 365 days)",2021-11-01,2022-01-20
Giving Guide 2021 – Factual,Philanthropy (Factual),18-24,female,Use our free guide to learn how to make a bigger impact on the causes you care about most.,224,239,1.066964286,,,,3.37,14.09998777,,,,1,0.41841004,15.04418338,21,,,,2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Climate Change (18-39),18-24,unknown,"Only 3% of donors give based on charity effectiveness yet the best charities can be 100x more impactful. That’s incredible!

Check out the Effective Giving Guide 2021. It'll help you find the most impactful charities across a range of causes.",18,19,1.055555556,,,,0.20,10.52631579,,,,0,0,11.11111111,2,,,,2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Climate Change (18-39),18-24,unknown,Want to make a bigger difference next year? Start with our Effective Giving Guide and learn how to make a remarkable impact just by carefully choosing the charities you give to.,18,21,1.166666667,,,,0.18,8.57142857,,,,0,0,10,1,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Hypercube Brand Video,Climate Change + Lookalikes (18-39),18-24,unknown,"Did you know that the best charities can have a 100x greater impact?
Download our free Effective Giving Guide for the best tips on doing the most good this holiday season.",4,4,1,,,,0.05,12.5,,,,0,0,12.5,2,,,"23847141732800764:Lookalike (AU, CA and 3 others, 1%) - GWWC Members & Try Givers,23847141732860764:Lookalike (AU, CA and 3 others, 2% to 3%) - GWWC Members & Try Givers,23847141732870764:Lookalike (AU, CA and 3 others, 1% to 2%) - GWWC Members & Try Givers,23847141734740764:Lookalike (AU, CA and 3 others, 1%) - GWWC Facebook Page (engaged within 365 days),23847141734790764:Lookalike (AU, CA and 3 others, 1% to 3%) - GWWC Facebook Page (engaged within 365 days)",2021-11-01,2022-01-20
Giving Guide 2021 – Hypercube Brand Video,Climate Change + Lookalikes (18-39),18-24,unknown,"Only 3% of donors give based on charity effectiveness yet the best charities can be 100x more impactful. That’s incredible!

Check out the Effective Giving Guide 2021. It'll help you find the most impactful charities across a range of causes.",4,4,1,,,,0.08,20,,,,0,0,20,,,,"23847141732800764:Lookalike (AU, CA and 3 others, 1%) - GWWC Members & Try Givers,23847141732860764:Lookalike (AU, CA and 3 others, 2% to 3%) - GWWC Members & Try Givers,23847141732870764:Lookalike (AU, CA and 3 others, 1% to 2%) - GWWC Members & Try Givers,23847141734740764:Lookalike (AU, CA and 3 others, 1%) - GWWC Facebook Page (engaged within 365 days),23847141734790764:Lookalike (AU, CA and 3 others, 1% to 3%) - GWWC Facebook Page (engaged within 365 days)",2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Climate Change (18-39),18-24,male,Want to make a bigger difference next year? Start with our Effective Giving Guide and learn how to make a remarkable impact just by carefully choosing the charities you give to.,369,389,1.054200542,On-Facebook Leads,1,3.23,3.23,8.3033419,1,3.23,0.257069409,3,0.77120823,8.75338753,61,,,,2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Climate Change (18-39),18-24,female,Want to make a bigger difference next year? Start with our Effective Giving Guide and learn how to make a remarkable impact just by carefully choosing the charities you give to.,549,579,1.054644809,On-Facebook Leads,1,6.37,6.37,11.00172712,2,3.185,0.345423143,7,1.208981,11.60291439,115,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Hypercube Brand Video,Climate Change + Lookalikes (18-39),18-24,unknown,Want to make a bigger difference next year? Start with our Effective Giving Guide and learn how to make a remarkable impact just by carefully choosing the charities you give to.,3,3,1,,,,0.09,30,,,,0,0,30,,,,"23847141732800764:Lookalike (AU, CA and 3 others, 1%) - GWWC Members & Try Givers,23847141732860764:Lookalike (AU, CA and 3 others, 2% to 3%) - GWWC Members & Try Givers,23847141732870764:Lookalike (AU, CA and 3 others, 1% to 2%) - GWWC Members & Try Givers,23847141734740764:Lookalike (AU, CA and 3 others, 1%) - GWWC Facebook Page (engaged within 365 days),23847141734790764:Lookalike (AU, CA and 3 others, 1% to 3%) - GWWC Facebook Page (engaged within 365 days)",2021-11-01,2022-01-20
Giving Guide 2021 – Factual V2,Lookalikes (Factual V2),18-24,male,"Only 3% of donors give based on charity effectiveness yet the best charities can be 100x more impactful. That’s incredible!

Check out the Effective Giving Guide 2021. It'll help you find the most impactful charities across a range of causes.",44,53,1.204545455,,,,0.84,15.87608906,,,,1,1.88679245,19.12347091,11,,,"23847141732800764:Lookalike (AU, CA and 3 others, 1%) - GWWC Members & Try Givers,23847141732860764:Lookalike (AU, CA and 3 others, 2% to 3%) - GWWC Members & Try Givers,23847141732870764:Lookalike (AU, CA and 3 others, 1% to 2%) - GWWC Members & Try Givers,23847141734740764:Lookalike (AU, CA and 3 others, 1%) - GWWC Facebook Page (engaged within 365 days),23847141734790764:Lookalike (AU, CA and 3 others, 1% to 3%) - GWWC Facebook Page (engaged within 365 days)",2021-11-01,2022-01-20
Giving Guide 2021 – Factual V2,Lookalikes (Factual V2),18-24,female,"Only 3% of donors give based on charity effectiveness yet the best charities can be 100x more impactful. That’s incredible!

Check out the Effective Giving Guide 2021. It'll help you find the most impactful charities across a range of causes.",212,218,1.028301887,,,,4.39,20.12601198,,,,1,0.4587156,20.6956161,52,,,"23847141732800764:Lookalike (AU, CA and 3 others, 1%) - GWWC Members & Try Givers,23847141732860764:Lookalike (AU, CA and 3 others, 2% to 3%) - GWWC Members & Try Givers,23847141732870764:Lookalike (AU, CA and 3 others, 1% to 2%) - GWWC Members & Try Givers,23847141734740764:Lookalike (AU, CA and 3 others, 1%) - GWWC Facebook Page (engaged within 365 days),23847141734790764:Lookalike (AU, CA and 3 others, 1% to 3%) - GWWC Facebook Page (engaged within 365 days)",2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Climate Change (18-39),18-24,unknown,Use our free guide to learn how to make a bigger impact on the causes you care about most.,25,26,1.04,,,,0.32,12.30769231,1,0.32,3.846153846,1,3.84615385,12.8,5,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Hypercube Brand Video,Philanthropy + Lookalikes (18-39),18-24,female,Want to make a bigger difference next year? Start with our Effective Giving Guide and learn how to make a remarkable impact just by carefully choosing the charities you give to.,61,67,1.098360656,,,,2.68,40,1,2.68,1.492537313,1,1.49253731,43.93442623,13,,,"23847141732800764:Lookalike (AU, CA and 3 others, 1%) - GWWC Members & Try Givers,23847141732860764:Lookalike (AU, CA and 3 others, 2% to 3%) - GWWC Members & Try Givers,23847141732870764:Lookalike (AU, CA and 3 others, 1% to 2%) - GWWC Members & Try Givers,23847141734740764:Lookalike (AU, CA and 3 others, 1%) - GWWC Facebook Page (engaged within 365 days),23847141734790764:Lookalike (AU, CA and 3 others, 1% to 3%) - GWWC Facebook Page (engaged within 365 days)",2021-11-01,2022-01-20
Giving Guide 2021 – Hypercube Brand Video,Philanthropy + Lookalikes (18-39),18-24,male,Want to make a bigger difference next year? Start with our Effective Giving Guide and learn how to make a remarkable impact just by carefully choosing the charities you give to.,27,29,1.074074074,,,,1.43,49.31034483,,,,0,0,52.96296296,1,,,"23847141732800764:Lookalike (AU, CA and 3 others, 1%) - GWWC Members & Try Givers,23847141732860764:Lookalike (AU, CA and 3 others, 2% to 3%) - GWWC Members & Try Givers,23847141732870764:Lookalike (AU, CA and 3 others, 1% to 2%) - GWWC Members & Try Givers,23847141734740764:Lookalike (AU, CA and 3 others, 1%) - GWWC Facebook Page (engaged within 365 days),23847141734790764:Lookalike (AU, CA and 3 others, 1% to 3%) - GWWC Facebook Page (engaged within 365 days)",2021-11-01,2022-01-20
Giving Guide 2021 – Emotional V3,Philanthropy (Emotional V3),18-24,male,"Giving What We Can has helped 6,000+ people make a bigger impact on the causes they care about most. Download our free guide and learn how you can do the same.",960,1133,1.180208333,On-Facebook Leads,3,4.25,12.74,11.24413288,7,1.81994322,0.617828773,14,1.23565755,13.27041932,140,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Hypercube Brand Video,Climate Change (18-39),18-24,male,"Giving What We Can has helped 6,000+ people make a bigger impact on the causes they care about most. Download our free guide and learn how you can do the same.",131,140,1.06870229,,,,2.41,17.21428571,,,,0,0,18.39694656,20,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Emotional V3,Philanthropy (Emotional V3),18-24,unknown,"It can be overwhelming with so many problems in the world. Fortunately, we can do *a lot* to help, if we give effectively.

Check out the Effective Giving Guide 2021. It'll help you find the most impactful charities across a range of causes.",184,278,1.510869565,On-Facebook Leads,1,2.58,2.58,9.2875761,2,1.29097308,0.71942446,3,1.07913669,14.03231607,28,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Emotional V3,Philanthropy (Emotional V3),18-24,female,"It can be overwhelming with so many problems in the world. Fortunately, we can do *a lot* to help, if we give effectively.

Check out the Effective Giving Guide 2021. It'll help you find the most impactful charities across a range of causes.",4880,5615,1.150614754,On-Facebook Leads,7,6.68,46.78,8.33041089,14,3.34108979,0.249332146,35,0.62333037,9.58509367,680,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Emotional V3,Philanthropy (Emotional V3),18-24,male,"It can be overwhelming with so many problems in the world. Fortunately, we can do *a lot* to help, if we give effectively.

Check out the Effective Giving Guide 2021. It'll help you find the most impactful charities across a range of causes.",1792,2312,1.290178571,On-Facebook Leads,3,8.26,24.78,10.71742088,5,4.95573541,0.216262976,10,0.43252595,13.82738676,316,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Hypercube Brand Video,Climate Change (18-39),18-24,female,Want to make a bigger difference next year? Start with our Effective Giving Guide and learn how to make a remarkable impact just by carefully choosing the charities you give to.,220,235,1.068181818,,,,4.30,18.29787234,,,,4,1.70212766,19.54545455,45,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Hypercube Brand Video,Climate Change (18-39),18-24,female,"Only 3% of donors give based on charity effectiveness yet the best charities can be 100x more impactful. That’s incredible!

Check out the Effective Giving Guide 2021. It'll help you find the most impactful charities across a range of causes.",217,229,1.055299539,,,,4.38,19.12663755,3,1.46,1.310043668,5,2.18340611,20.1843318,41,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Hypercube Brand Video,Climate Change (18-39),18-24,female,"Giving What We Can has helped 6,000+ people make a bigger impact on the causes they care about most. Download our free guide and learn how you can do the same.",219,227,1.03652968,On-Facebook Leads,1,5.10,5.10,22.46696035,1,5.1,0.440528634,2,0.88105727,23.28767123,39,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Hypercube Brand Video,Climate Change (18-39),18-24,female,Use our free guide to learn how to make a bigger impact on the causes you care about most.,208,224,1.076923077,,,,4.14,18.48214286,,,,0,0,19.90384615,37,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Emotional V3,Philanthropy (Emotional V3),18-24,unknown,Want to make a bigger difference next year? Start with our Effective Giving Guide and learn how to make a remarkable impact just by carefully choosing the charities you give to.,77,77,1,,,,0.90,11.69712847,1,0.90067889,1.298701299,1,1.2987013,11.69712847,16,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Hypercube Brand Video,Climate Change (18-39),18-24,male,Want to make a bigger difference next year? Start with our Effective Giving Guide and learn how to make a remarkable impact just by carefully choosing the charities you give to.,135,151,1.118518519,,,,2.50,16.55629139,,,,3,1.98675497,18.51851852,24,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Hypercube Brand Video,Climate Change (18-39),18-24,male,"Only 3% of donors give based on charity effectiveness yet the best charities can be 100x more impactful. That’s incredible!

Check out the Effective Giving Guide 2021. It'll help you find the most impactful charities across a range of causes.",130,144,1.107692308,,,,2.26,15.69444444,,,,2,1.38888889,17.38461538,32,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Emotional V3,Philanthropy (Emotional V3),18-24,male,Want to make a bigger difference next year? Start with our Effective Giving Guide and learn how to make a remarkable impact just by carefully choosing the charities you give to.,514,528,1.027237354,,,,5.17,9.79905276,1,5.17389986,0.189393939,1,0.18939394,10.06595303,58,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Emotional V3,Philanthropy (Emotional V3),18-24,male,"Whether we’re moved by animal welfare, the climate crisis, or worldwide humanitarian efforts, our community is united by one thing: making the biggest impact we can. 
 
Make a bigger difference in the world through charitable giving. Start by downloading our Effective Giving Guide. You’ll learn how to approach charity research and smart giving. And be sure to share it with others who care about making a greater impact on the causes closest to their hearts.",692,708,1.023121387,On-Facebook Leads,1,6.91,6.91,9.75311418,5,1.38104097,0.706214689,9,1.27118644,9.97861971,76,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Hypercube Brand Video,Climate Change (18-39),18-24,male,Use our free guide to learn how to make a bigger impact on the causes you care about most.,107,118,1.102803738,,,,2.46,20.84745763,1,2.46,0.847457627,1,0.84745763,22.99065421,25,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Hypercube Brand Video,Climate Change (18-39),18-24,unknown,"Did you know that the best charities can have a 100x greater impact?
Download our free Effective Giving Guide for the best tips on doing the most good this holiday season.",24,33,1.375,,,,0.46,13.93939394,,,,0,0,19.16666667,4,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Emotional V3,Philanthropy (Emotional V3),18-24,female,Want to make a bigger difference next year? Start with our Effective Giving Guide and learn how to make a remarkable impact just by carefully choosing the charities you give to.,1312,1430,1.089939024,On-Facebook Leads,1,14.85,14.85,10.38545047,1,14.85119417,0.06993007,6,0.41958042,11.31950775,186,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Emotional V3,Philanthropy (Emotional V3),18-24,unknown,Use our free guide to learn how to make a bigger impact on the causes you care about most.,78,81,1.038461538,,,,0.81,10.00754324,,,,0,0,10.39244875,10,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Hypercube Brand Video,Climate Change (18-39),18-24,unknown,"Giving What We Can has helped 6,000+ people make a bigger impact on the causes they care about most. Download our free guide and learn how you can do the same.",14,14,1,,,,0.23,16.42857143,,,,0,0,16.42857143,5,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Hypercube Brand Video,Climate Change (18-39),18-24,unknown,Want to make a bigger difference next year? Start with our Effective Giving Guide and learn how to make a remarkable impact just by carefully choosing the charities you give to.,11,12,1.090909091,,,,0.11,9.16666667,,,,0,0,10,3,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Hypercube Brand Video,Climate Change (18-39),18-24,unknown,Use our free guide to learn how to make a bigger impact on the causes you care about most.,10,12,1.2,,,,0.19,15.83333333,,,,0,0,19,1,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Hypercube Brand Video,Climate Change (18-39),18-24,unknown,"Only 3% of donors give based on charity effectiveness yet the best charities can be 100x more impactful. That’s incredible!

Check out the Effective Giving Guide 2021. It'll help you find the most impactful charities across a range of causes.",10,11,1.1,,,,0.09,8.18181818,,,,0,0,9,2,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Emotional V3,Philanthropy (Emotional V3),18-24,female,Use our free guide to learn how to make a bigger impact on the causes you care about most.,1766,1887,1.068516421,,,,18.46,9.78479983,2,9.23195864,0.105988341,5,0.26497085,10.4552193,230,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Emotional V3,Philanthropy (Emotional V3),18-24,male,Use our free guide to learn how to make a bigger impact on the causes you care about most.,662,705,1.064954683,On-Facebook Leads,1,7.02,7.02,9.95076286,2,3.50764391,0.283687943,8,1.13475177,10.5971115,103,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Hypercube Brand Video,Climate Change (18-39),18-24,male,"Did you know that the best charities can have a 100x greater impact?
Download our free Effective Giving Guide for the best tips on doing the most good this holiday season.",394,485,1.230964467,,,,6.78,13.97938144,,,,2,0.41237113,17.20812183,73,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Emotional V3,Philanthropy (Emotional V3),18-24,female,"Whether we’re moved by animal welfare, the climate crisis, or worldwide humanitarian efforts, our community is united by one thing: making the biggest impact we can. 
 
Make a bigger difference in the world through charitable giving. Start by downloading our Effective Giving Guide. You’ll learn how to approach charity research and smart giving. And be sure to share it with others who care about making a greater impact on the causes closest to their hearts.",1594,1847,1.158720201,On-Facebook Leads,3,6.29,18.88,10.22427401,6,3.14737235,0.32485111,17,0.92041148,11.84707284,243,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Hypercube Brand Video,Philanthropy + Lookalikes (18-39),18-24,female,"Did you know that the best charities can have a 100x greater impact?
Download our free Effective Giving Guide for the best tips on doing the most good this holiday season.",28,28,1,,,,0.94,33.57142857,,,,0,0,33.57142857,3,,,"23847141732800764:Lookalike (AU, CA and 3 others, 1%) - GWWC Members & Try Givers,23847141732860764:Lookalike (AU, CA and 3 others, 2% to 3%) - GWWC Members & Try Givers,23847141732870764:Lookalike (AU, CA and 3 others, 1% to 2%) - GWWC Members & Try Givers,23847141734740764:Lookalike (AU, CA and 3 others, 1%) - GWWC Facebook Page (engaged within 365 days),23847141734790764:Lookalike (AU, CA and 3 others, 1% to 3%) - GWWC Facebook Page (engaged within 365 days)",2021-11-01,2022-01-20
Giving Guide 2021 – Factual,Animal Welfare (Factual),18-24,male,Want to make a bigger difference next year? Start with our Effective Giving Guide and learn how to make a remarkable impact just by carefully choosing the charities you give to.,83,85,1.024096386,,,,1.56,18.34938026,,,,0,0,18.79153401,13,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Hypercube Brand Video,Philanthropy + Lookalikes (18-39),18-24,female,"Giving What We Can has helped 6,000+ people make a bigger impact on the causes they care about most. Download our free guide and learn how you can do the same.",27,28,1.037037037,,,,1.18,42.14285714,,,,0,0,43.7037037,5,,,"23847141732800764:Lookalike (AU, CA and 3 others, 1%) - GWWC Members & Try Givers,23847141732860764:Lookalike (AU, CA and 3 others, 2% to 3%) - GWWC Members & Try Givers,23847141732870764:Lookalike (AU, CA and 3 others, 1% to 2%) - GWWC Members & Try Givers,23847141734740764:Lookalike (AU, CA and 3 others, 1%) - GWWC Facebook Page (engaged within 365 days),23847141734790764:Lookalike (AU, CA and 3 others, 1% to 3%) - GWWC Facebook Page (engaged within 365 days)",2021-11-01,2022-01-20
Giving Guide 2021 – Hypercube Brand Video,Philanthropy + Lookalikes (18-39),18-24,female,Use our free guide to learn how to make a bigger impact on the causes you care about most.,24,25,1.041666667,,,,1.32,52.8,,,,0,0,55,4,,,"23847141732800764:Lookalike (AU, CA and 3 others, 1%) - GWWC Members & Try Givers,23847141732860764:Lookalike (AU, CA and 3 others, 2% to 3%) - GWWC Members & Try Givers,23847141732870764:Lookalike (AU, CA and 3 others, 1% to 2%) - GWWC Members & Try Givers,23847141734740764:Lookalike (AU, CA and 3 others, 1%) - GWWC Facebook Page (engaged within 365 days),23847141734790764:Lookalike (AU, CA and 3 others, 1% to 3%) - GWWC Facebook Page (engaged within 365 days)",2021-11-01,2022-01-20
Giving Guide 2021 – Factual,Animal Welfare (Factual),18-24,unknown,"Giving What We Can has helped 6,000+ people make a bigger impact on the causes they care about most. Download our free guide and learn how you can do the same.",6,6,1,,,,0.05,8.33171647,,,,0,0,8.33171647,1,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Factual,Animal Welfare (Factual),18-24,female,"Giving What We Can has helped 6,000+ people make a bigger impact on the causes they care about most. Download our free guide and learn how you can do the same.",192,199,1.036458333,,,,2.45,12.30916905,,,,0,0,12.75794084,26,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Hypercube Brand Video,Philanthropy + Lookalikes (18-39),18-24,female,"Only 3% of donors give based on charity effectiveness yet the best charities can be 100x more impactful. That’s incredible!

Check out the Effective Giving Guide 2021. It'll help you find the most impactful charities across a range of causes.",13,13,1,,,,0.28,21.53846154,,,,0,0,21.53846154,2,,,"23847141732800764:Lookalike (AU, CA and 3 others, 1%) - GWWC Members & Try Givers,23847141732860764:Lookalike (AU, CA and 3 others, 2% to 3%) - GWWC Members & Try Givers,23847141732870764:Lookalike (AU, CA and 3 others, 1% to 2%) - GWWC Members & Try Givers,23847141734740764:Lookalike (AU, CA and 3 others, 1%) - GWWC Facebook Page (engaged within 365 days),23847141734790764:Lookalike (AU, CA and 3 others, 1% to 3%) - GWWC Facebook Page (engaged within 365 days)",2021-11-01,2022-01-20
