Campaign name,Ad Set Name,Age,Gender,Text,Reach,Impressions,Frequency,Result type,Results,Cost per result,Amount spent (USD),"CPM (cost per 1,000 impressions)",Link clicks,CPC (cost per link click),CTR (link click-through rate),Clicks (all),CTR (all),"Cost per 1,000 people reached",3-second video plays,ThruPlays,Unique link clicks,Included custom audiences,Reporting starts,Reporting ends
Giving Guide 2021 – Factual V3,Lookalikes (Factual V3),13-17,female,"Only 3% of donors give based on charity effectiveness yet the best charities can be 100x more impactful. That’s incredible!

Check out the Effective Giving Guide 2021. It'll help you find the most impactful charities across a range of causes.",1,1,1,,,,0.03,30,,,,0,0,30,,,,"23847141732800764:Lookalike (AU, CA and 3 others, 1%) - GWWC Members & Try Givers,23847141732860764:Lookalike (AU, CA and 3 others, 2% to 3%) - GWWC Members & Try Givers,23847141732870764:Lookalike (AU, CA and 3 others, 1% to 2%) - GWWC Members & Try Givers,23847141734740764:Lookalike (AU, CA and 3 others, 1%) - GWWC Facebook Page (engaged within 365 days),23847141734790764:Lookalike (AU, CA and 3 others, 1% to 3%) - GWWC Facebook Page (engaged within 365 days)",2021-11-01,2022-01-20
Giving Guide 2021 – Factual V3,Lookalikes (Factual V3),13-17,male,"Giving What We Can has helped 6,000+ people make a bigger impact on the causes they care about most. Download our free guide and learn how you can do the same.",1,1,1,,,,0.01,10,,,,0,0,10,,,,"23847141732800764:Lookalike (AU, CA and 3 others, 1%) - GWWC Members & Try Givers,23847141732860764:Lookalike (AU, CA and 3 others, 2% to 3%) - GWWC Members & Try Givers,23847141732870764:Lookalike (AU, CA and 3 others, 1% to 2%) - GWWC Members & Try Givers,23847141734740764:Lookalike (AU, CA and 3 others, 1%) - GWWC Facebook Page (engaged within 365 days),23847141734790764:Lookalike (AU, CA and 3 others, 1% to 3%) - GWWC Facebook Page (engaged within 365 days)",2021-11-01,2022-01-20
Giving Guide 2021 – Emotional V3,Philanthropy (Emotional V3),13-17,male,"Whether we’re moved by animal welfare, the climate crisis, or worldwide humanitarian efforts, our community is united by one thing: making the biggest impact we can. 
 
Make a bigger difference in the world through charitable giving. Start by downloading our Effective Giving Guide. You’ll learn how to approach charity research and smart giving. And be sure to share it with others who care about making a greater impact on the causes closest to their hearts.",2,4,2,,,,0.01,2.50188581,,,,0,0,5.00377162,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Emotional V3,Philanthropy (Emotional V3),13-17,female,"Giving What We Can has helped 6,000+ people make a bigger impact on the causes they care about most. Download our free guide and learn how you can do the same.",9,9,1,,,,0.15,16.67923874,,,,0,0,16.67923874,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Hypercube Brand Video,General Population (18-39),13-17,female,"Did you know that the best charities can have a 100x greater impact?
Download our free Effective Giving Guide for the best tips on doing the most good this holiday season.",4,4,1,,,,0.14,35,,,,0,0,35,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Hypercube Brand Video,General Population (18-39),13-17,male,"Did you know that the best charities can have a 100x greater impact?
Download our free Effective Giving Guide for the best tips on doing the most good this holiday season.",3,3,1,,,,0.13,43.33333333,,,,0,0,43.33333333,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Hypercube Brand Video,Climate Change (18-39),13-17,male,Use our free guide to learn how to make a bigger impact on the causes you care about most.,1,1,1,,,,0.08,80,,,,0,0,80,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Animal Welfare (18-39),13-17,male,"Giving What We Can has helped 6,000+ people make a bigger impact on the causes they care about most. Download our free guide and learn how you can do the same.",2,2,1,,,,0.01,4.99920416,,,,0,0,4.99920416,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Factual V3,Animal Welfare (Factual V3),13-17,unknown,"Did you know that the best charities can have a 100x greater impact?
Download our free Effective Giving Guide for the best tips on doing the most good this holiday season.",7,7,1,,,,0.04,5.71471343,,,,0,0,5.71471343,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Animal Welfare (18-39),13-17,female,"Did you know that the best charities can have a 100x greater impact?
Download our free Effective Giving Guide for the best tips on doing the most good this holiday season.",4,5,1.25,,,,0.23,45.99267827,,,,0,0,57.49084784,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Animal Welfare (18-39),13-17,female,Use our free guide to learn how to make a bigger impact on the causes you care about most.,3,3,1,,,,0.04,13.33121109,,,,0,0,13.33121109,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Factual V3,Animal Welfare (Factual V3),13-17,male,"Giving What We Can has helped 6,000+ people make a bigger impact on the causes they care about most. Download our free guide and learn how you can do the same.",2,3,1.5,,,,0.01,3.33358283,,,,0,0,5.00037425,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Factual V3,Animal Welfare (Factual V3),13-17,unknown,"Giving What We Can has helped 6,000+ people make a bigger impact on the causes they care about most. Download our free guide and learn how you can do the same.",0,1,0,,,,0.03,30.00224551,,,,0,0,,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Factual V3,Animal Welfare (Factual V3),13-17,male,Use our free guide to learn how to make a bigger impact on the causes you care about most.,8,8,1,,,,0.14,17.50130988,,,,0,0,17.50130988,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Factual V3,Animal Welfare (Factual V3),13-17,unknown,Want to make a bigger difference next year? Start with our Effective Giving Guide and learn how to make a remarkable impact just by carefully choosing the charities you give to.,1,1,1,,,,0.01,10.0007485,,,,0,0,10.0007485,,,,,2021-11-01,2022-01-20
